rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -4.8255464453252e-05 9.85580815598023e-05 -0.48961448609338 0.625447876955499 convgroup -0.0964862976322343 0.95 -0.482718756906715 0.290213471335617
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.000730342088350388 0.000395348723280276 1.84733640288658 0.0675685331582937 convgroup 0.364046928876572 0.95 -0.0262423282244472 0.752598479024046
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.00027751679974058 0.000136036671827431 2.04001462262046 0.0439081090101373 convgroup 0.402017227110244 0.95 0.0109464539313812 0.791175500199147
lh_cuneus_thickness.aparcnative71 convgroup 0.000414743728185572 0.000252710505660457 1.64118118913039 0.103809999210619 convgroup 0.323420775284534 0.95 -0.0661064032171857 0.711399115902981
lh_entorhinal_thickness.aparcnative71 convgroup 0.000656208890844367 0.000338498399629273 1.93858786795759 0.0552884719595539 convgroup 0.382029476918541 0.95 -0.00862151465513541 0.77085983763426
lh_fusiform_thickness.aparcnative71 convgroup -0.000127172493174149 0.000168427531181486 -0.755057633880037 0.451937475747616 convgroup -0.148796078672691 0.95 -0.535211105519164 0.238338457718262
lh_inferiorparietal_thickness.aparcnative71 convgroup -4.37811117261638e-05 9.20713613419783e-05 -0.47551280971668 0.635428417652163 convgroup -0.0937073387112023 0.95 -0.479933786921316 0.292972965066524
lh_inferiortemporal_thickness.aparcnative71 convgroup -5.24200779339361e-05 0.000164804408454536 -0.318074488574115 0.751072427399505 convgroup -0.062681621245842 0.95 -0.448866315426666 0.323806856841284
lh_isthmuscingulate_thickness.aparcnative71 convgroup 0.000285671920199915 0.000403015828543945 0.708835484779887 0.480027868711186 convgroup 0.139687271311081 0.95 -0.24736215471021 0.526060987065489
lh_lateraloccipital_thickness.aparcnative71 convgroup 4.53275774961864e-05 4.87781365535053e-05 0.929260129617006 0.354926993848016 convgroup 0.183125442548476 0.95 -0.204365447452989 0.569731958245201
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000395335610757516 0.00026036031684474 1.5184173054808 0.131972787868376 convgroup 0.299228205512313 0.95 -0.0898817265634326 0.686902601655392
lh_lingual_thickness.aparcnative71 convgroup 2.39637580094352e-05 3.25070377499394e-05 0.737186765332989 0.462684757796147 convgroup 0.145274340671565 0.95 -0.241826816254617 0.531672907491564
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.000279886734065247 0.000204783814726418 1.36674245686439 0.174681957311792 convgroup 0.269338271691737 0.95 -0.119294071831373 0.656675884354034
lh_middletemporal_thickness.aparcnative71 convgroup -0.000172795178601883 0.000181470749272217 -0.95219300793584 0.343228264716416 convgroup -0.187644729836502 0.95 -0.574280688860548 0.199897221380483
lh_parahippocampal_thickness.aparcnative71 convgroup -0.000243438888114173 0.000366164508843128 -0.664834745681121 0.507642024104401 convgroup -0.131016228012104 0.95 -0.517354396314922 0.255955855163969
lh_paracentral_thickness.aparcnative71 convgroup 0.00046258840438852 0.000191229039425592 2.41902801885126 0.0173158302661022 convgroup 0.476707826334783 0.95 0.0839063279035624 0.867258759472998
lh_parsopercularis_thickness.aparcnative71 convgroup 5.56461936377623e-05 8.41539241315378e-05 0.661243004554177 0.50993292748909 convgroup 0.130308418473711 0.95 -0.256657521282556 0.516643824017043
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.00015676806342838 0.000234078273485503 0.669724964619961 0.504531753145551 convgroup 0.131979923191519 0.95 -0.255000671123211 0.518321892122005
lh_parstriangularis_thickness.aparcnative71 convgroup 0.000144114043507454 0.000168653038134903 0.854500132942634 0.394811059584546 convgroup 0.168392799836732 0.95 -0.218938277760554 0.554910191960686
lh_pericalcarine_thickness.aparcnative71 convgroup 0.000389250767557195 0.000300862467514001 1.2937830722906 0.19863406290066 convgroup 0.254960468144255 0.95 -0.13345710679871 0.642151340786048
lh_postcentral_thickness.aparcnative71 convgroup 4.34674985405532e-05 4.9984112420136e-05 0.869626295955641 0.386526710525511 convgroup 0.171373650093332 0.95 -0.21598893254164 0.557908255952949
lh_posteriorcingulate_thickness.aparcnative71 convgroup 7.79747458383426e-05 8.98610857048673e-05 0.867725392217458 0.387561851532392 convgroup 0.170999046871691 0.95 -0.216359561605192 0.557531441184123
lh_precentral_thickness.aparcnative71 convgroup 0.000393308307363543 0.000167631376126402 2.34626903657326 0.0208767628613962 convgroup 0.462369515237193 0.95 0.0699200448060391 0.852632731952465
lh_precuneus_thickness.aparcnative71 convgroup 0.000243233469890815 0.000111428265326728 2.18287046987235 0.0313166224547593 convgroup 0.430169236881094 0.95 0.0384761303104168 0.819821514616948
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup 0.00103058702081644 0.000566854279953009 1.8180810435124 0.0719582835520396 convgroup 0.358281696449652 0.95 -0.0318947358851078 0.746747103678904
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.00052899999015121 0.000272562466683287 1.94083945815584 0.055011050956872 convgroup 0.382473188467494 0.95 -0.00818697908316633 0.771310637811469
lh_superiorfrontal_thickness.aparcnative71 convgroup 0.000189273745837554 6.95558576269198e-05 2.72117622145889 0.00763857944442654 convgroup 0.536250920409585 0.95 0.141887989459533 0.928099723794513
lh_superiorparietal_thickness.aparcnative71 convgroup 0.000135987280653487 0.000163122668038214 0.833650419582579 0.406407114790448 convgroup 0.164284033233732 0.95 -0.223004329626669 0.550778408673245
lh_superiortemporal_thickness.aparcnative71 convgroup 9.54467436221057e-05 0.000116155408312773 0.821715880547683 0.41313665082677 convgroup 0.161932143087237 0.95 -0.225332116036866 0.548413740610161
