rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -0.000169766804206647 0.000123771245466228 -1.37161748326245 0.178671254900388 convgroup -0.457205827754151 0.95 -1.11586179960896 0.20762318436378
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup -0.000457982996887137 0.00101727332956793 -0.450206432799785 0.655261163999483 convgroup -0.150068810933262 0.95 -0.80326697689363 0.50520060079127
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 4.53101199525152e-05 7.75863224237514e-05 0.583996232029739 0.56286457202416 convgroup 0.19466541067658 0.95 -0.46153146042714 0.848180487011539
lh_cuneus_thickness.aparcnative71 convgroup -5.6945760074924e-05 0.000197025039911681 -0.289028034713002 0.774217839828321 convgroup -0.0963426782376674 0.95 -0.749374338408497 0.558020762468172
lh_entorhinal_thickness.aparcnative71 convgroup -0.000158703622514242 0.00129785044531608 -0.122281903193854 0.90335584506437 convgroup -0.0407606343979514 0.95 -0.693867352638068 0.612910028751281
lh_fusiform_thickness.aparcnative71 convgroup -0.000196814928962869 0.000108095179020961 -1.82075584448318 0.0769644521687018 convgroup -0.606918614827725 0.95 -1.27098521753514 0.0651931756455789
lh_inferiorparietal_thickness.aparcnative71 convgroup -0.000307827500137027 0.000233657469116342 -1.31743060173161 0.196017903130872 convgroup -0.439143533910537 0.95 -1.09726745153274 0.224920632562416
lh_inferiortemporal_thickness.aparcnative71 convgroup -0.000200759742988186 0.000326283273860889 -0.615292781062936 0.542231746364497 convgroup -0.205097593687645 0.95 -0.858710161103588 0.451339104530671
lh_isthmuscingulate_thickness.aparcnative71 convgroup 7.42263944718634e-05 6.63157572566275e-05 1.11928744453032 0.270430232527313 convgroup 0.373095814843439 0.95 -0.28838464259449 1.02949747635634
lh_lateraloccipital_thickness.aparcnative71 convgroup -1.25732797179742e-05 0.000217069792146739 -0.0579227519113978 0.954130482223639 convgroup -0.0193075839704659 0.95 -0.672510431788031 0.634162422738759
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup -4.87793019013411e-06 0.000264573654288162 -0.0184369460491379 0.985392085683456 convgroup -0.00614564868304596 0.95 -0.659426104702264 0.647219741899419
lh_lingual_thickness.aparcnative71 convgroup 0.000179533247016535 8.72240345283734e-05 2.05830019199735 0.046855523174992 convgroup 0.686100063999118 0.95 0.00946888677834996 1.35374143221964
lh_medialorbitofrontal_thickness.aparcnative71 convgroup -0.000835670567728639 0.000666158919866525 -1.25446127464011 0.217758305512162 convgroup -0.418153758213369 0.95 -1.07569227880531 0.245053116227402
lh_middletemporal_thickness.aparcnative71 convgroup -0.000311348732329242 0.000649618132349144 -0.479279621095774 0.634638459021914 convgroup -0.159759873698591 0.95 -0.813012908404262 0.495697592767225
lh_parahippocampal_thickness.aparcnative71 convgroup -0.000601764413983526 0.000703167602442814 -0.85579086962054 0.397773804019559 convgroup -0.285263623206847 0.95 -0.939921196122729 0.373303645362474
lh_paracentral_thickness.aparcnative71 convgroup 0.000263593413212444 0.000277163099495553 0.951040790394514 0.347925435508054 convgroup 0.317013596798171 0.95 -0.342537307007447 0.972229481195415
lh_parsopercularis_thickness.aparcnative71 convgroup -0.000201992295786159 0.000272946079785461 -0.74004468554715 0.464072051483088 convgroup -0.24668156184905 0.95 -0.900770897862535 0.410796948255316
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.000492026741610856 0.000444492133959935 1.10694139225241 0.275661192589747 convgroup 0.368980464084138 0.95 -0.292350100121267 1.02528650096779
lh_parstriangularis_thickness.aparcnative71 convgroup -5.043869918695e-06 0.000188843988517904 -0.0267091897300019 0.978839196196801 convgroup -0.00890306324333397 0.95 -0.662165990162831 0.644483091106558
lh_pericalcarine_thickness.aparcnative71 convgroup 3.63943136749014e-05 0.000107504071706677 0.338538932499249 0.7369237122685 convgroup 0.112846310833083 0.95 -0.541770794277361 0.765904118076512
lh_postcentral_thickness.aparcnative71 convgroup -3.49702566472503e-05 9.53200341646557e-05 -0.366872053222754 0.715862170208738 convgroup -0.122290684407585 0.95 -0.775373386066146 0.532481389122047
