rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 0.0460972020376934 0.0185836158543265 2.48052921449952 0.0140476372641507 convgroup 0.37184705034948 0.95 0.0749978709201484 0.667669249102627
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.0648428710818997 0.0274371493465043 2.3633239103304 0.0191904553101436 convgroup 0.35427723243085 0.95 0.0576836323086468 0.649890941120761
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.036827342111003 0.015001772020388 2.45486613587736 0.0150549933393346 convgroup 0.36799999221658 0.95 0.0712077293151351 0.663775588995234
lh_cuneus_thickness.aparcnative71 convgroup 0.0104675225001498 0.016502001193951 0.634318370064522 0.526687441652612 convgroup 0.0950883438551127 0.95 -0.1990217472182 0.388931812965173
lh_entorhinal_thickness.aparcnative71 convgroup 0.0402474424356045 0.0369600945711394 1.08894316701863 0.277651062133028 convgroup 0.163239482239195 0.95 -0.13128816406967 0.457310353234207
lh_fusiform_thickness.aparcnative71 convgroup 0.0316134713502353 0.0149119836085286 2.12000443268691 0.0353914133612191 convgroup 0.317802100622107 0.95 0.0217040873790877 0.613018597869154
lh_inferiorparietal_thickness.aparcnative71 convgroup 0.0197168365035258 0.0160784949790327 1.22628619962488 0.221710750292528 convgroup 0.183828073279431 0.95 -0.110858945296666 0.478001135730697
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.0333326953310492 0.0168450698056574 1.97878048091285 0.0493831063991048 convgroup 0.296631735202131 0.95 0.000799593911662904 0.591639840238087
lh_isthmuscingulate_thickness.aparcnative71 convgroup 0.0374172236650798 0.0223971734617017 1.67062257784723 0.0965536153375629 convgroup 0.250436912489691 0.95 -0.0448708634478995 0.54504689080928
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.0268603702473727 0.0153968214958913 1.74453995290784 0.0827910125642619 convgroup 0.261517595484755 0.95 -0.0339089625582886 0.55621597665284
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.0337258390862288 0.0140208226805127 2.4054108560337 0.0171787147193293 convgroup 0.360586332330383 0.95 0.063902272875981 0.656273616109182
lh_lingual_thickness.aparcnative71 convgroup 0.00656663462073898 0.0151568989590186 0.433243939838482 0.665362104754043 convgroup 0.0649460123948717 0.95 -0.22903347577614 0.358743267433007
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.044263805946092 0.0154634062232792 2.86248743045084 0.00470766893149179 convgroup 0.429105007695048 0.95 0.131347300819786 0.725683928857166
lh_middletemporal_thickness.aparcnative71 convgroup 0.0408446318058303 0.0168138825003668 2.42922072311016 0.0161252461695687 convgroup 0.364155582307301 0.95 0.0674196561382925 0.65988513533915
lh_parahippocampal_thickness.aparcnative71 convgroup -0.0455912101602628 0.0389246367350673 -1.1712687383718 0.243056274984318 convgroup -0.175580607147973 0.95 -0.469710865288578 0.119040712032966
lh_paracentral_thickness.aparcnative71 convgroup 0.0391463162246146 0.0194734981677431 2.01023544344275 0.045916074374493 convgroup 0.301347033440597 0.95 0.00545705666587414 0.596400149605022
lh_parsopercularis_thickness.aparcnative71 convgroup 0.0326620900201693 0.0147145615530157 2.21971207925494 0.0277013219007874 convgroup 0.332748908769695 0.95 0.0364535506600686 0.628122343532896
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.0635668056168707 0.0214045419258442 2.96978117247719 0.0033912714385271 convgroup 0.445189019630987 0.95 0.147155400776162 0.742001724639062
lh_parstriangularis_thickness.aparcnative71 convgroup 0.0485341113668959 0.016313050198289 2.97517084646662 0.00333505713987467 convgroup 0.445996965920675 0.95 0.147949219201697 0.74282162607103
lh_pericalcarine_thickness.aparcnative71 convgroup 0.0126308903664679 0.0163174358657863 0.774073234934653 0.439914384693781 convgroup 0.116038483837412 0.95 -0.178181942030318 0.409933714180639
lh_postcentral_thickness.aparcnative71 convgroup 0.0221133070006944 0.0146610847829959 1.50829951043879 0.133250748933649 convgroup 0.226103655914164 0.95 -0.0689587618080394 0.52053521238768
lh_posteriorcingulate_thickness.aparcnative71 convgroup 0.0558313404836749 0.0178129277991836 3.13431576847427 0.0020151141914503 convgroup 0.469853798358177 0.95 0.171379463405769 0.767042870736367
lh_precentral_thickness.aparcnative71 convgroup 0.0400021310424878 0.0169915736712775 2.35423344631741 0.0196513111093962 convgroup 0.352914514261767 0.95 0.056340300545986 0.648512500840924
lh_precuneus_thickness.aparcnative71 convgroup 0.0332459339827263 0.0149095356538206 2.22984368894191 0.0270080046547265 convgroup 0.334267701273879 0.95 0.037951837840291 0.629657535651137
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup 0.0496930833417726 0.0253967895226861 1.95666792046228 0.0519508662721664 convgroup 0.293316922245623 0.95 -0.00247505697815865 0.588293868456524
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.0466465852103205 0.0133186047969851 3.50236274154481 0.000583071924248466 convgroup 0.525026372229252 0.95 0.22548979091621 0.823135810140828
lh_superiorfrontal_thickness.aparcnative71 convgroup 0.0528738700890198 0.014846761756152 3.56130656350774 0.000473491340301263 convgroup 0.5338624247156 0.95 0.234145956391534 0.832129269933232
lh_superiorparietal_thickness.aparcnative71 convgroup 0.01919586585463 0.0156325687005673 1.22794060415249 0.221090544239551 convgroup 0.184076079003403 0.95 -0.110612948676919 0.478250466088045
lh_superiortemporal_thickness.aparcnative71 convgroup 0.0410574398707669 0.0177417611120059 2.31416935509199 0.0218005398623695 convgroup 0.346908653068913 0.95 0.0504189957729002 0.642438220427593
lh_supramarginal_thickness.aparcnative71 convgroup 0.0303775041504073 0.0153484725009709 1.97918744998799 0.0493368730155949 convgroup 0.296692742445782 0.95 0.000859846013899903 0.591701431321437
lh_frontalpole_thickness.aparcnative71 convgroup 0.0814849775410309 0.0270261671655568 3.01504009213998 0.00294507402925106 convgroup 0.451973618530384 0.95 0.153820880407962 0.748887664529378
lh_temporalpole_thickness.aparcnative71 convgroup 0.0612493912372403 0.038825043252455 1.5775743207541 0.116438955263348 convgroup 0.236488389030264 0.95 -0.0586761193011001 0.530993454539253
lh_transversetemporal_thickness.aparcnative71 convgroup 0.0277378179172177 0.0232890028437788 1.19102643008295 0.235228998039411 convgroup 0.178542410355758 0.95 -0.116102211281544 0.472687773214324
lh_insula_thickness.aparcnative71 convgroup 0.0550442369823889 0.0198903801627691 2.76737983547549 0.00624830650028651 convgroup 0.414847776435406 0.95 0.117327080872538 0.711227262474568
lh_MeanThickness_thickness.aparcnative71 convgroup 0.0362476614998752 0.0107908935966798 3.35909729580022 0.000956569213440465 convgroup 0.503549973924514 0.95 0.204439390783615 0.801288308073631
rh_bankssts_thickness.aparcnative71 convgroup 0.0204950339714233 0.020064256424077 1.02146989842242 0.308418134856033 convgroup 0.153124811644597 0.95 -0.14133017806535 0.447151157873947
rh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.0358767844590777 0.0261339270100628 1.37280495370112 0.171540066502577 convgroup 0.205792163121897 0.95 -0.0890818146381374 0.500091381647256
rh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.0346216822881759 0.0153191761368103 2.26002246981049 0.0250315945875523 convgroup 0.338791691793131 0.95 0.0424142971898975 0.634230866371414
rh_cuneus_thickness.aparcnative71 convgroup 0.00592237215484918 0.0158626543406685 0.373353161939958 0.709329878751589 convgroup 0.0559680052121604 0.95 -0.23797897806805 0.349757937605026
rh_entorhinal_thickness.aparcnative71 convgroup 0.0214712783056839 0.0431795011769739 0.497256284126176 0.61962199500096 convgroup 0.0745418685009797 0.95 -0.219475576463888 0.368350226377258
rh_fusiform_thickness.aparcnative71 convgroup 0.0284344195860449 0.0174752989860008 1.62712063517902 0.105480374339915 convgroup 0.24391569557715 0.95 -0.0513242171482926 0.538475741534964
rh_inferiorparietal_thickness.aparcnative71 convgroup 0.0319272093556599 0.014902560475857 2.14239757036274 0.0335203363773937 convgroup 0.321158973882924 0.95 0.0250173339847064 0.61641000745056
rh_inferiortemporal_thickness.aparcnative71 convgroup 0.0171373242278303 0.0170164101838298 1.00710573162578 0.315251044503287 convgroup 0.150971532004577 0.95 -0.143468459320559 0.444988897992205
rh_isthmuscingulate_thickness.aparcnative71 convgroup 0.0258204870088875 0.0230533263185523 1.12003303350234 0.264208660057831 convgroup 0.167900050266433 0.95 -0.126662318405485 0.461992700435681
rh_lateraloccipital_thickness.aparcnative71 convgroup 0.0327865677894775 0.0159570680956941 2.05467367769927 0.0413718789497354 convgroup 0.308008606396254 0.95 0.0120355723105517 0.603126681169933
rh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.0262723329417818 0.0150205977268971 1.74908704829612 0.0819996138270142 convgroup 0.262199233902035 0.95 -0.0332347772952209 0.556903195545177
rh_lingual_thickness.aparcnative71 convgroup 0.00885495549204963 0.0150542655639269 0.588202423721548 0.557141993457556 convgroup 0.0881752712246942 0.95 -0.205901929753114 0.382005187012903
rh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.0258813929623117 0.0162798303700728 1.58978271726279 0.113658331595162 convgroup 0.238318505041282 0.95 -0.0568644043064094 0.53283693615865
rh_middletemporal_thickness.aparcnative71 convgroup 0.0351368281090897 0.0171432322742494 2.04960345557869 0.0418701488209849 convgroup 0.30724854796633 0.95 0.0112850735703422 0.602359133289432
rh_parahippocampal_thickness.aparcnative71 convgroup -0.0283562000832534 0.0321912503976289 -0.88086668684799 0.379577795283333 convgroup -0.132047499114673 0.95 -0.425993140865931 0.162268034015953
rh_paracentral_thickness.aparcnative71 convgroup 0.038030681145412 0.0193735684365118 1.96301890743775 0.0512020945793803 convgroup 0.294268975444526 0.95 -0.00153449468959805 0.589254822269181
rh_parsopercularis_thickness.aparcnative71 convgroup 0.0448781395321364 0.0144133444089907 3.11365206149812 0.00215374670628046 convgroup 0.466756177720026 0.95 0.168338339327905 0.763896793405641
rh_parsorbitalis_thickness.aparcnative71 convgroup 0.0372151088043173 0.0212796722667113 1.74885723510575 0.0820394626463418 convgroup 0.262164783448289 0.95 -0.0332687484099152 0.556868462689176
rh_parstriangularis_thickness.aparcnative71 convgroup 0.0614149411264581 0.0150878069720732 4.07050151424487 7.04597018287808e-05 convgroup 0.610193975006433 0.95 0.308812582543924 0.909934854250394
rh_pericalcarine_thickness.aparcnative71 convgroup 0.0246539288010779 0.0173668162804461 1.41959979324688 0.157473141934395 convgroup 0.212807006146102 0.95 -0.0821303670512105 0.507150232386484
