rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 0.00468837469030366 0.0233950900685616 0.200399941892248 0.841635525578154 convgroup 0.042970257936689 0.95 -0.377461751325628 0.463155726804575
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.0742427156674347 0.0434339425529218 1.70932481151059 0.0909556776557283 convgroup 0.36651771130595 0.95 -0.0582815391995792 0.789246634402994
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.0612341077245161 0.0258093338298854 2.3725566931763 0.0198695225774452 convgroup 0.508729554073524 0.95 0.0803285473992644 0.934298145692093
lh_cuneus_thickness.aparcnative71 convgroup 0.00296047888977904 0.0216939028556253 0.136465942042853 0.891768239178091 convgroup 0.0292613694085181 0.95 -0.391105426539068 0.44946021971135
lh_entorhinal_thickness.aparcnative71 convgroup 0.126208926162452 0.056167494393004 2.24701008165627 0.0271698839946437 convgroup 0.481809534890116 0.95 0.0541672257439907 0.906760992970992
lh_fusiform_thickness.aparcnative71 convgroup -0.00373798875338181 0.0222107550855847 -0.168296338372028 0.866740787511905 convgroup -0.0360865227871908 0.95 -0.456277496064121 0.384311506298303
lh_inferiorparietal_thickness.aparcnative71 convgroup 0.0159255500443957 0.0218875766955632 0.727606818511981 0.468807929621289 convgroup 0.156015278112029 0.95 -0.265328509402279 0.576466307238791
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.0175661906384989 0.0247115251721583 0.710850120181579 0.479078521944212 convgroup 0.152422264847525 0.95 -0.268882321192997 0.572854525724662
lh_isthmuscingulate_thickness.aparcnative71 convgroup 0.000728702002070732 0.0362281100485968 0.0201142704130368 0.983998275821346 convgroup 0.00431295228778675 0.95 -0.415960286679251 0.424561456697195
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.0287334617475609 0.0196882365299643 1.45942282356423 0.14805014929547 convgroup 0.312933100554316 0.95 -0.110771851513847 0.734862876369257
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.0358743512724915 0.01847285154615 1.94200398259402 0.0553721768021768 convgroup 0.416409362488794 0.95 -0.00953879185922903 0.840016087605628
lh_lingual_thickness.aparcnative71 convgroup -0.00382402612288292 0.020399550935461 -0.187456387397015 0.851739311632951 convgroup -0.04019486853275 0.95 -0.460382292236369 0.380223083868219
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.0349789296954962 0.0248081727740379 1.40997605966781 0.162111831346688 convgroup 0.302330601478211 0.95 -0.121175087355539 0.724119943817286
lh_middletemporal_thickness.aparcnative71 convgroup 0.013911220842676 0.0223376339122836 0.622770562777739 0.535064343328649 convgroup 0.1335360253364 0.95 -0.287573506562089 0.553880798302591
lh_parahippocampal_thickness.aparcnative71 convgroup -0.00939918017137003 0.0555118982108584 -0.169318298856721 0.865939352532834 convgroup -0.0363056541163406 0.95 -0.456496412477885 0.384093413764555
lh_paracentral_thickness.aparcnative71 convgroup 0.0831331354321933 0.0272522676850181 3.05050340738784 0.00302796892323982 convgroup 0.654096588125181 0.95 0.220990207170879 1.08363058255207
lh_parsopercularis_thickness.aparcnative71 convgroup 0.0102771981358358 0.0222551885202346 0.461788859999619 0.645385378380067 convgroup 0.0990179250508094 0.95 -0.321782969513753 0.519251225234305
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.0525359106574146 0.0342466468828466 1.53404538660772 0.12864718205739 convgroup 0.328933857598446 0.95 -0.0950826197549147 0.751086622613203
lh_parstriangularis_thickness.aparcnative71 convgroup 0.0368927492733905 0.0238912265678877 1.54419653459644 0.126170580091061 convgroup 0.331110492198785 0.95 -0.0929493596608913 0.753294638866062
lh_pericalcarine_thickness.aparcnative71 convgroup 0.0191190626389878 0.0262056049352465 0.729579137220093 0.467607252122687 convgroup 0.156438187633961 0.95 -0.264910245192711 0.576891462391952
lh_postcentral_thickness.aparcnative71 convgroup 0.00473424810447631 0.0225968102742473 0.209509574449618 0.834540281834965 convgroup 0.0449235681871935 0.95 -0.375518548003631 0.46510794847606
lh_posteriorcingulate_thickness.aparcnative71 convgroup 0.0560805899788917 0.0285038220231496 1.96747614875455 0.0523141683838474 convgroup 0.42187116821483 0.95 -0.0042103332875935 0.845581776061825
lh_precentral_thickness.aparcnative71 convgroup 0.0823910601407254 0.0319823419730008 2.57614217902739 0.0116778141056237 convgroup 0.552382864331922 0.95 0.122676079177415 0.979030462924249
lh_precuneus_thickness.aparcnative71 convgroup 0.03483530894518 0.0227006170112072 1.53455339685181 0.128522334571311 convgroup 0.329042786428548 0.95 -0.0949758458109844 0.751197130038396
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup 0.0212571448317859 0.038475517190353 0.552484966650837 0.582032806840276 convgroup 0.118465211611161 0.95 -0.302501939515279 0.538753641046155
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.0595628516627943 0.0198078641745942 3.00703049747232 0.00344827991907111 convgroup 0.644775017795922 0.95 0.212000769233951 1.07402299088562
lh_superiorfrontal_thickness.aparcnative71 convgroup 0.0970102147849343 0.0228008647061415 4.25467262032411 5.25877533686813e-05 convgroup 0.912297569576128 0.95 0.468394188532309 1.3514349700796
