rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -8.8728925142078e-05 0.000156340487849615 -0.567536447931689 0.571336154879305 convgroup -0.0999375959908562 0.95 -0.44508969620194 0.245601031090011
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.000687817086326091 0.000322248804681253 2.13442866609369 0.0346992230936138 convgroup 0.375851930709916 0.95 0.0269778601399459 0.723294613883543
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000149670833043403 0.000106850054238091 1.40075579849399 0.163688009602902 convgroup 0.246659342464981 0.95 -0.10025255560704 0.592622955747628
lh_cuneus_thickness.aparcnative71 convgroup 2.64934439627197e-05 5.72599719110248e-05 0.462686988458313 0.644368271567222 convgroup 0.0814746356666391 0.95 -0.263956275729771 0.426590302527728
lh_entorhinal_thickness.aparcnative71 convgroup 0.000301302469378841 0.00112209131629316 0.268518671345036 0.788729044099699 convgroup 0.0472835015102179 0.95 -0.297986561003024 0.392370516847406
lh_fusiform_thickness.aparcnative71 convgroup 7.2629011198158e-05 0.000104795180667608 0.693056786919663 0.48951980235315 convgroup 0.122040495235708 0.95 -0.223646353759994 0.467255604970187
lh_inferiorparietal_thickness.aparcnative71 convgroup 1.35749587767725e-05 1.99952202726015e-05 0.678910189120227 0.498410995978699 convgroup 0.119549418264921 0.95 -0.226119629947356 0.464756308361518
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000251563707989546 0.000131659005116837 1.91072162338083 0.0582593850865801 convgroup 0.336459317008323 0.95 -0.0117424891833307 0.683375556406274
lh_isthmuscingulate_thickness.aparcnative71 convgroup 6.205016188788e-05 3.67245423186433e-05 1.68961021622808 0.0935179592085471 convgroup 0.297523769243009 0.95 -0.0500771953034204 0.643984635204384
lh_lateraloccipital_thickness.aparcnative71 convgroup 7.08399370645621e-05 3.11810035839235e-05 2.27189406761386 0.0247484358745152 convgroup 0.400058238181286 0.95 0.0507391471162811 0.747857112165522
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000259016952774173 0.00011759222987002 2.20267064465463 0.0293941970534301 convgroup 0.387868673084602 0.95 0.0387767019895983 0.73548504261464
