rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 (Intercept) -0.345814573813153 0.530726178837202 -0.65158755607424 0.515041462465015 (Intercept) -0.065158755607424 0.95 -0.261166434552459 0.130930298884326
lh_bankssts_thickness.aparcnative71 convgroup 0.121690422991719 0.161178456085198 0.755004272577185 0.450690721058698 convgroup 0.0755004272577185 0.95 -0.120612884630286 0.27151945396128
lh_bankssts_thickness.aparcnative71 subject_sexMale 0.118038027615605 0.100927128333178 1.16953716572556 0.242883698926122 subject_sexMale 0.116953716572556 0.95 -0.0792830134477607 0.313044536627034
lh_bankssts_thickness.aparcnative71 cohortBACS -0.259485775345538 0.132248585904855 -1.96210623781053 0.0504430675834978 cohortBACS -0.196210623781054 0.95 -0.392555729206094 0.000378551744605041
lh_bankssts_thickness.aparcnative71 cohortLCBC -0.135172061319124 0.136303853412148 -0.991696551016784 0.321945084245482 cohortLCBC -0.0991696551016784 0.95 -0.295224508641917 0.0970089950284527
lh_bankssts_thickness.aparcnative71 meanAge 0.00599741969710103 0.0074681109421133 0.803070514563606 0.422410900103991 meanAge 0.0803070514563606 0.95 -0.115818437369574 0.276332237940592
lh_bankssts_thickness.aparcnative71 nTimepoints -0.018147400696061 0.0274272240811445 -0.661656485627974 0.508572363315914 nTimepoints -0.0661656485627974 0.95 -0.262174317725589 0.129925686877348
lh_bankssts_thickness.aparcnative71 intervalFirstlast 0.00209752726900073 0.0176839514867773 0.11861191038491 0.905642370834717 intervalFirstlast 0.011861191038491 0.95 -0.184144327191787 0.207851895533041
lh_caudalanteriorcingulate_thickness.aparcnative71 (Intercept) -0.474774877881149 0.526215127002522 -0.902244830143156 0.367469791810771 (Intercept) -0.0902244830143156 0.95 -0.286264197203578 0.105927867353146
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.331641335846388 0.159808475859939 2.07524246797177 0.0386027071301253 convgroup 0.207524246797177 0.95 0.0108723252602952 0.403918159321866
lh_caudalanteriorcingulate_thickness.aparcnative71 subject_sexMale -0.0207922928688242 0.100069270692852 -0.207778998736216 0.835507276987131 subject_sexMale -0.0207778998736216 0.95 -0.216766606170332 0.175236771791088
lh_caudalanteriorcingulate_thickness.aparcnative71 cohortBACS 0.0330537171390706 0.131124502997569 0.252078874531051 0.801109568986401 cohortBACS 0.0252078874531051 0.95 -0.171916806265695 0.21779125716932
lh_caudalanteriorcingulate_thickness.aparcnative71 cohortLCBC -0.114367806812528 0.135145301653205 -0.846258104525203 0.397914748972511 cohortLCBC -0.0846258104525203 0.95 -0.28065703302408 0.111511068512605
lh_caudalanteriorcingulate_thickness.aparcnative71 meanAge 0.00233332306047612 0.00740463369732988 0.315116608849607 0.752837441131015 meanAge 0.0315116608849607 0.95 -0.164516574050374 0.227500528200607
lh_caudalanteriorcingulate_thickness.aparcnative71 nTimepoints 0.0538923137014259 0.0271940989133178 1.98176500987253 0.0481896663902204 nTimepoints 0.198176500987253 0.95 0.00157675161775436 0.394529884441483
lh_caudalanteriorcingulate_thickness.aparcnative71 intervalFirstlast 0.009219047375864 0.0175336419204137 0.525791927182603 0.599324148177252 intervalFirstlast 0.0525791927182603 0.95 -0.143483880729083 0.24857659265726
lh_caudalmiddlefrontal_thickness.aparcnative71 (Intercept) 0.149419922302991 0.526762771267365 0.283656952338326 0.776820046661657 (Intercept) 0.0283656952338326 0.95 -0.167658278224754 0.224354219623649
