rois,term,estimate,std.error,statistic,p.value,term.1,d,CI,CI_low,CI_high,yearsBeforeAB,analysis,desctext,othertext,typetext,src,pInd,pIndFDR,FDRind,pCol,roi,sigdirection
lh_bankssts_thickness.aparcnative71,convgroup,0.0285328761264894,0.01604906750403,1.77785258360492,0.0760815006330999,convgroup,0.164891878789061,0.95,-0.0172872489783257,0.346894320266515,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_bankssts,NA
lh_caudalanteriorcingulate_thickness.aparcnative71,convgroup,0.0624324702563705,0.0254198739828574,2.45604955785672,0.0144120646152711,convgroup,0.227793141978545,0.95,0.0453008747993268,0.410042040556347,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_caudalanteriorcingulate,positive_fdrsig
lh_caudalmiddlefrontal_thickness.aparcnative71,convgroup,0.0394730318974341,0.0148250188164279,2.66259573672131,0.00802285944756548,convgroup,0.246949841360575,0.95,0.0643445795303365,0.429291556530738,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_caudalmiddlefrontal,positive_fdrsig
lh_cuneus_thickness.aparcnative71,convgroup,0.00911707236535523,0.0141243108469399,0.645487943741375,0.518929401952764,convgroup,0.0598675732514253,0.95,-0.121987594217411,0.241658403119689,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_cuneus,NA
lh_entorhinal_thickness.aparcnative71,convgroup,0.0490925351553564,0.0305594817731717,1.60645836600721,0.108852051570326,convgroup,0.148995445747373,0.95,-0.0331186499696851,0.330949783764844,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_entorhinal,NA
lh_fusiform_thickness.aparcnative71,convgroup,0.0183618861758581,0.0134755633266806,1.36260620285186,0.173666207013806,convgroup,0.126378699173296,0.95,-0.0556526812822692,0.308274483737131,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_fusiform,NA
lh_inferiorparietal_thickness.aparcnative71,convgroup,0.0185040870512446,0.0132915267960438,1.39217166960475,0.164535850785832,convgroup,0.129120830554219,0.95,-0.0529199537848122,0.311023088994574,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_inferiorparietal,NA
lh_inferiortemporal_thickness.aparcnative71,convgroup,0.0203993717148512,0.0150566942071831,1.35483735235316,0.176127235371646,convgroup,0.125658155542977,0.95,-0.0563707790207442,0.307552260072044,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_inferiortemporal,NA
lh_isthmuscingulate_thickness.aparcnative71,convgroup,0.0452720815101029,0.0197260956452122,2.29503508065424,0.0221756006280301,convgroup,0.212859406806689,0.95,0.0304495272038648,0.395041682904703,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_isthmuscingulate,positive_sigonly
lh_lateraloccipital_thickness.aparcnative71,convgroup,0.023301164760027,0.0128470539238967,1.81373604392558,0.0703628233576796,convgroup,0.168219990042093,0.95,-0.0139734778407113,0.350233223051406,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_lateraloccipital,NA
