rois,term,estimate,std.error,statistic,p.value,term.1,d,CI,CI_low,CI_high,yearsBeforeAB,analysis,desctext,othertext,typetext,src,pInd,pIndFDR,FDRind,pCol,roi,sigdirection
lh_bankssts_thickness.aparcnative71,convgroup,4.95961173285971e-05,2.8001606941189e-05,1.77118825475847,0.0771843701327974,convgroup,0.164273777089014,0.95,-0.0179027169372335,0.346274239795125,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_bankssts,NA
lh_caudalanteriorcingulate_thickness.aparcnative71,convgroup,0.000523119936880227,0.000209761120785139,2.49388416176545,0.0129817157240083,convgroup,0.231302217466177,0.95,0.0487898640629523,0.413567489269843,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_caudalanteriorcingulate,positive_sigonly
lh_caudalmiddlefrontal_thickness.aparcnative71,convgroup,0.00016873467798071,6.34783970474632e-05,2.65814333425191,0.00812798969228977,convgroup,0.246536890919646,0.95,0.0639341445900478,0.428876509515101,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,2,1,#aad6e7,lh_caudalmiddlefrontal,positive_fdrsig
lh_cuneus_thickness.aparcnative71,convgroup,0.000309441603390569,0.000160598507184664,1.92680248910881,0.0546132784260831,convgroup,0.178706651729452,0.95,-0.00353362929456046,0.360755552875187,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_cuneus,NA
lh_entorhinal_thickness.aparcnative71,convgroup,0.000433804910509998,0.0002941552743405,1.47474802715197,0.140957012437709,convgroup,0.136779604327188,0.95,-0.0452883762599921,0.318700875692666,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_entorhinal,NA
lh_fusiform_thickness.aparcnative71,convgroup,0.000136217699270912,9.50084617679075e-05,1.43374281338933,0.152317734858794,convgroup,0.132976461817049,0.95,-0.0490778504712377,0.31488812186897,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_fusiform,NA
lh_inferiorparietal_thickness.aparcnative71,convgroup,0.000143725199024159,0.00010260670277309,1.4007388907331,0.161959123674433,convgroup,0.129915421287378,0.95,-0.0521281285032812,0.311819599561881,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_inferiorparietal,NA
lh_inferiortemporal_thickness.aparcnative71,convgroup,0.000180512207252945,0.000134347948389818,1.34361714798338,0.179727501557301,convgroup,0.124617506506048,0.95,-0.0574079077065358,0.306509205281001,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_inferiortemporal,NA
lh_isthmuscingulate_thickness.aparcnative71,convgroup,0.000533003858569455,0.000251564926065808,2.11875266916193,0.0346409760689598,convgroup,0.196509604637213,0.95,0.0141841903599717,0.378624735259709,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_isthmuscingulate,positive_sigonly
lh_lateraloccipital_thickness.aparcnative71,convgroup,0.000317496315656229,0.000127544676846316,2.48929491615549,0.0131482237747132,convgroup,0.230876575127869,0.95,0.0483666771917975,0.413139834260453,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_lateraloccipital,positive_sigonly
lh_lateralorbitofrontal_thickness.aparcnative71,convgroup,0.000261928744764492,0.000141133346729394,1.85589551182903,0.0641009011910656,convgroup,0.172130187060369,0.95,-0.0100804526187411,0.354156434586152,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_lateralorbitofrontal,NA
lh_lingual_thickness.aparcnative71,convgroup,2.66883454962505e-05,0.000120981585515505,0.220598410762521,0.825501961322202,convgroup,0.0204600126826919,0.95,-0.16133804491224,0.202236076780332,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_lingual,NA
lh_medialorbitofrontal_thickness.aparcnative71,convgroup,0.000317286928487882,0.00015017886312489,2.11272693031392,0.0351565126287726,convgroup,0.195950730741309,0.95,0.0136280963609514,0.37806367882605,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_medialorbitofrontal,positive_sigonly
lh_middletemporal_thickness.aparcnative71,convgroup,0.000202196096097346,8.24830845358969e-05,2.4513643886505,0.0145985557033246,convgroup,0.227358602939716,0.95,0.0448688017530765,0.409605483346331,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_middletemporal,positive_sigonly
lh_parahippocampal_thickness.aparcnative71,convgroup,0.000229314663962744,0.000527417624530057,0.434787639429132,0.663918281649878,convgroup,0.0403255879598072,0.95,-0.141496856347973,0.22210469244967,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_parahippocampal,NA
lh_paracentral_thickness.aparcnative71,convgroup,0.000271307951524294,0.000101229031472041,2.68013975416952,0.00762039746693182,convgroup,0.248577010016301,0.95,0.065961768711725,0.430926984759386,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,2,1,#aad6e7,lh_paracentral,positive_fdrsig
lh_parsopercularis_thickness.aparcnative71,convgroup,9.17153852320455e-05,3.96358655866072e-05,2.31394934548965,0.021105578761739,convgroup,0.214613662864467,0.95,0.0321943735061285,0.39680351047858,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_parsopercularis,positive_sigonly
lh_parsorbitalis_thickness.aparcnative71,convgroup,0.000414277719201453,0.000168924143801516,2.45244824024815,0.01455522472665,convgroup,0.227459127768329,0.95,0.0449687636329735,0.40970646882949,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_parsorbitalis,positive_sigonly
lh_parstriangularis_thickness.aparcnative71,convgroup,0.000170594483841522,5.9033560638159e-05,2.88978814757873,0.0040352298504086,convgroup,0.268021432907797,0.95,0.0852823910613594,0.450474791682508,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,2,1,#aad6e7,lh_parstriangularis,positive_fdrsig
lh_pericalcarine_thickness.aparcnative71,convgroup,-3.57126246744313e-06,4.37875123387445e-05,-0.0815589257461235,0.935032557563515,convgroup,-0.00756440923297858,0.95,-0.189343297231222,0.1742226122706,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_pericalcarine,NA
lh_postcentral_thickness.aparcnative71,convgroup,0.000180088866333283,0.000108142122332513,1.66529805823073,0.0965268469970845,convgroup,0.154452696527094,0.95,-0.0276830799240814,0.336422909535007,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,0,0,0,NA,lh_postcentral,NA
lh_posteriorcingulate_thickness.aparcnative71,convgroup,0.00032520089608124,0.000139288090392105,2.33473583538822,0.0199819491578674,convgroup,0.216541563638925,0.95,0.0341118230060079,0.398739795349135,1,analysnum1matchF0procLONGpredAB0singleT0reproduce2,full,NA,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum1matchF0procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum1matchF0procLONGpredAB0singleT0reproduce2.csv,1,1,0,#aad6e7,lh_posteriorcingulate,positive_sigonly
