rois,term,estimate,std.error,statistic,p.value,term.1,d,CI,CI_low,CI_high,yearsBeforeAB,analysis,desctext,othertext,typetext,src,pInd,pIndFDR,FDRind,pCol,roi,sigdirection
lh_bankssts_thickness.aparcnative71,convgroup,0.0205553171602729,0.0213523594552847,0.96267193343757,0.337472400279393,convgroup,0.167579673627152,0.95,-0.174519473026316,0.509046769765449,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_bankssts,NA
lh_caudalanteriorcingulate_thickness.aparcnative71,convgroup,0.0759878825425161,0.0355119879632039,2.13978115281103,0.0342120562267339,convgroup,0.372488087339526,0.95,0.0276684015814601,0.715920992036203,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_caudalanteriorcingulate,positive_sigonly
lh_caudalmiddlefrontal_thickness.aparcnative71,convgroup,0.0490551540192764,0.0197639542950126,2.48205158173511,0.0143183359671637,convgroup,0.43206972130958,0.95,0.0861335343346648,0.776406276403571,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_caudalmiddlefrontal,positive_sigonly
lh_cuneus_thickness.aparcnative71,convgroup,0.00383567069702748,0.0179515617474947,0.213667799547456,0.831135802068831,convgroup,0.0371947896984331,0.95,-0.304090944224507,0.378339802034259,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_cuneus,NA
lh_entorhinal_thickness.aparcnative71,convgroup,0.0569549635321971,0.0429443471478526,1.32625053854253,0.187046916040229,convgroup,0.230870584959466,0.95,-0.111881994395348,0.572754974148607,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_entorhinal,NA
lh_fusiform_thickness.aparcnative71,convgroup,0.00212709933493008,0.0178840146296264,0.118938581687713,0.905504831560671,convgroup,0.0207045495028924,0.95,-0.320529680419159,0.361860431339249,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_fusiform,NA
lh_inferiorparietal_thickness.aparcnative71,convgroup,0.0168140834031871,0.0161885357492922,1.03864139805987,0.30087035763871,convgroup,0.180804259952811,0.95,-0.161417528039695,0.522344469384881,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_inferiorparietal,NA
lh_inferiortemporal_thickness.aparcnative71,convgroup,0.0279868828649247,0.0180893987541216,1.54714279038976,0.124223015028693,convgroup,0.269322990379807,0.95,-0.0739085206616652,0.611543989466169,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_inferiortemporal,NA
lh_isthmuscingulate_thickness.aparcnative71,convgroup,0.0446527219441523,0.0248732278745325,1.79521219237781,0.0749079237017005,convgroup,0.312506330392218,0.95,-0.0313364093603061,0.655180024163777,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_isthmuscingulate,NA
lh_lateraloccipital_thickness.aparcnative71,convgroup,0.0310367849254072,0.014123130432319,2.1975853776995,0.0297227592671033,convgroup,0.382550511312446,0.95,0.0375524475874123,0.726125639996073,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_lateraloccipital,positive_sigonly
