rois,term,estimate,std.error,statistic,p.value,term.1,d,CI,CI_low,CI_high,yearsBeforeAB,analysis,desctext,othertext,typetext,src,pInd,pIndFDR,FDRind,pCol,roi,sigdirection
lh_bankssts_thickness.aparcnative71,convgroup,0.000179745212697206,0.000174486642355199,1.03013738055261,0.304829363708537,convgroup,0.179323900518942,0.95,-0.162883788980738,0.520855541467655,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_bankssts,NA
lh_caudalanteriorcingulate_thickness.aparcnative71,convgroup,0.00065223539965364,0.000296860198813378,2.19711299211138,0.0297572634723888,convgroup,0.382468279536559,0.95,0.0374716813927724,0.726042201192613,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,1,1,0,#aad6e7,lh_caudalanteriorcingulate,positive_sigonly
lh_caudalmiddlefrontal_thickness.aparcnative71,convgroup,0.000118580357258044,4.83591601159894e-05,2.45207644164268,0.0155098148514155,convgroup,0.426851719185346,0.95,0.0810190924668698,0.771103203435961,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,1,1,0,#aad6e7,lh_caudalmiddlefrontal,positive_sigonly
lh_cuneus_thickness.aparcnative71,convgroup,2.5486875734697e-05,6.70886917257952e-05,0.379898237379065,0.704631499437958,convgroup,0.0661317946646489,0.95,-0.275272271050975,0.407285728204393,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_cuneus,NA
lh_entorhinal_thickness.aparcnative71,convgroup,0.000171153171029848,0.00101570537468174,0.168506710012711,0.866442590488662,convgroup,0.0293332530918192,0.95,-0.311926506470846,0.370481994485608,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_entorhinal,NA
lh_fusiform_thickness.aparcnative71,convgroup,9.8997787765867e-06,9.59247705869757e-05,0.103203570006044,0.917958035133931,convgroup,0.017965435552912,0.95,-0.323261366806005,0.359124260145485,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_fusiform,NA
lh_inferiorparietal_thickness.aparcnative71,convgroup,5.16042559418678e-05,4.91893218861673e-05,1.04909468077826,0.296051547889896,convgroup,0.182623942905471,0.95,-0.159615273344342,0.524174795317075,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_inferiorparietal,NA
lh_inferiortemporal_thickness.aparcnative71,convgroup,0.00017453785989138,0.000114429923865443,1.52528162210976,0.129581297235481,convgroup,0.265517449449172,0.95,-0.0776639117680996,0.607702351118674,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_inferiortemporal,NA
lh_isthmuscingulate_thickness.aparcnative71,convgroup,0.000232226762961941,9.90626134354588e-05,2.34424224143088,0.0205581085669427,convgroup,0.408080194380619,0.95,0.062610937751711,0.752035079005458,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,1,1,0,#aad6e7,lh_isthmuscingulate,positive_sigonly
lh_lateraloccipital_thickness.aparcnative71,convgroup,9.29810087977939e-05,3.74250259944448e-05,2.48446076728432,0.0142262149694109,convgroup,0.432489106682748,0.95,0.0865445364656297,0.776832537917967,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,1,1,0,#aad6e7,lh_lateraloccipital,positive_sigonly
lh_lateralorbitofrontal_thickness.aparcnative71,convgroup,0.000181314035452175,0.000154246399887945,1.17548309447672,0.241917369581696,convgroup,0.204625341702058,0.95,-0.137835855347423,0.546316024701166,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_lateralorbitofrontal,NA
lh_lingual_thickness.aparcnative71,convgroup,4.11930422798473e-05,9.96196617982743e-05,0.413503133179286,0.679909039196179,convgroup,0.0719816561541869,0.95,-0.269450645359235,0.413141733540834,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_lingual,NA
lh_medialorbitofrontal_thickness.aparcnative71,convgroup,0.000339819021819603,0.000370811899652028,0.916418869347211,0.361118475088779,convgroup,0.159528048649533,0.95,-0.182500055579075,0.500954284496059,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_medialorbitofrontal,NA
lh_middletemporal_thickness.aparcnative71,convgroup,0.000139530375766934,0.000119188517469004,1.17066961423713,0.243840698747415,convgroup,0.20378742234496,0.95,-0.138664958492765,0.545472426734224,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_middletemporal,NA
lh_parahippocampal_thickness.aparcnative71,convgroup,-0.000472853433165394,0.000431872497696437,-1.09489128316238,0.27555805976919,convgroup,-0.190596108099233,0.95,-0.532195265136903,0.151721180083973,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,0,0,0,NA,lh_parahippocampal,NA
lh_paracentral_thickness.aparcnative71,convgroup,0.000249500132057317,0.000110428386304327,2.25938402622063,0.025498559257061,convgroup,0.393308275188234,0.95,0.0481149042059685,0.737040057469644,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,1,1,0,#aad6e7,lh_paracentral,positive_sigonly
lh_parsopercularis_thickness.aparcnative71,convgroup,0.000253856785315444,0.000115837332400835,2.19149370979139,0.0301703887745565,convgroup,0.381490088042141,0.95,0.0365110073437579,0.725049992285513,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,1,1,0,#aad6e7,lh_parsopercularis,positive_sigonly
lh_parsorbitalis_thickness.aparcnative71,convgroup,0.000655030572667024,0.000228688713781656,2.86428902342956,0.00486392248337073,convgroup,0.498608719178253,0.95,0.151255446725024,0.844129143900866,1,analysnum6matchF1procLONGpredAB1singleT0reproduce2,reduced,,slope,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum6matchF1procLONGpredAB1singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum6matchF1procLONGpredAB1singleT0reproduce2.csv,1,1,0,#aad6e7,lh_parsorbitalis,positive_sigonly
