rois,term,estimate,std.error,statistic,p.value,term.1,d,CI,CI_low,CI_high,yearsBeforeAB,analysis,desctext,othertext,typetext,src,pInd,pIndFDR,FDRind,pCol,roi,sigdirection
lh_bankssts_thickness.aparcnative71,convgroup,0.0460972020376934,0.0185836158543265,2.48052921449952,0.0140476372641507,convgroup,0.37184705034948,0.95,0.0749978709201484,0.667669249102627,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_bankssts,positive_sigonly
lh_caudalanteriorcingulate_thickness.aparcnative71,convgroup,0.0648428710818997,0.0274371493465043,2.3633239103304,0.0191904553101436,convgroup,0.35427723243085,0.95,0.0576836323086468,0.649890941120761,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_caudalanteriorcingulate,positive_sigonly
lh_caudalmiddlefrontal_thickness.aparcnative71,convgroup,0.036827342111003,0.015001772020388,2.45486613587736,0.0150549933393346,convgroup,0.36799999221658,0.95,0.0712077293151351,0.663775588995234,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_caudalmiddlefrontal,positive_sigonly
lh_cuneus_thickness.aparcnative71,convgroup,0.0104675225001498,0.016502001193951,0.634318370064522,0.526687441652612,convgroup,0.0950883438551127,0.95,-0.1990217472182,0.388931812965173,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_cuneus,NA
lh_entorhinal_thickness.aparcnative71,convgroup,0.0402474424356045,0.0369600945711394,1.08894316701863,0.277651062133028,convgroup,0.163239482239195,0.95,-0.13128816406967,0.457310353234207,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_entorhinal,NA
lh_fusiform_thickness.aparcnative71,convgroup,0.0316134713502353,0.0149119836085286,2.12000443268691,0.0353914133612191,convgroup,0.317802100622107,0.95,0.0217040873790877,0.613018597869154,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_fusiform,positive_sigonly
lh_inferiorparietal_thickness.aparcnative71,convgroup,0.0197168365035258,0.0160784949790327,1.22628619962488,0.221710750292528,convgroup,0.183828073279431,0.95,-0.110858945296666,0.478001135730697,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_inferiorparietal,NA
lh_inferiortemporal_thickness.aparcnative71,convgroup,0.0333326953310492,0.0168450698056574,1.97878048091285,0.0493831063991048,convgroup,0.296631735202131,0.95,0.000799593911662904,0.591639840238087,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_inferiortemporal,positive_sigonly
lh_isthmuscingulate_thickness.aparcnative71,convgroup,0.0374172236650798,0.0223971734617017,1.67062257784723,0.0965536153375629,convgroup,0.250436912489691,0.95,-0.0448708634478995,0.54504689080928,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_isthmuscingulate,NA
lh_lateraloccipital_thickness.aparcnative71,convgroup,0.0268603702473727,0.0153968214958913,1.74453995290784,0.0827910125642619,convgroup,0.261517595484755,0.95,-0.0339089625582886,0.55621597665284,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_lateraloccipital,NA
lh_lateralorbitofrontal_thickness.aparcnative71,convgroup,0.0337258390862288,0.0140208226805127,2.4054108560337,0.0171787147193293,convgroup,0.360586332330383,0.95,0.063902272875981,0.656273616109182,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_lateralorbitofrontal,positive_sigonly
lh_lingual_thickness.aparcnative71,convgroup,0.00656663462073898,0.0151568989590186,0.433243939838482,0.665362104754043,convgroup,0.0649460123948717,0.95,-0.22903347577614,0.358743267433007,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_lingual,NA
lh_medialorbitofrontal_thickness.aparcnative71,convgroup,0.044263805946092,0.0154634062232792,2.86248743045084,0.00470766893149179,convgroup,0.429105007695048,0.95,0.131347300819786,0.725683928857166,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_medialorbitofrontal,positive_fdrsig
lh_middletemporal_thickness.aparcnative71,convgroup,0.0408446318058303,0.0168138825003668,2.42922072311016,0.0161252461695687,convgroup,0.364155582307301,0.95,0.0674196561382925,0.65988513533915,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_middletemporal,positive_sigonly
lh_parahippocampal_thickness.aparcnative71,convgroup,-0.0455912101602628,0.0389246367350673,-1.1712687383718,0.243056274984318,convgroup,-0.175580607147973,0.95,-0.469710865288578,0.119040712032966,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_parahippocampal,NA
lh_paracentral_thickness.aparcnative71,convgroup,0.0391463162246146,0.0194734981677431,2.01023544344275,0.045916074374493,convgroup,0.301347033440597,0.95,0.00545705666587414,0.596400149605022,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_paracentral,positive_sigonly
