rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -9.04374881175154e-06 0.00020576946330149 -0.0439508791374975 0.964964800220855 convgroup -0.0043253627562284 0.95 -0.197210020426838 0.188564521621897
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.000522707916454179 0.00049079975622246 1.06501258370075 0.287492474797516 convgroup 0.104811686474858 0.95 -0.0882710166768095 0.297767697959982
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.00018997783582486 0.000122249917500619 1.55401197570459 0.120947496878675 convgroup 0.152935860541429 0.95 -0.0403250670251998 0.346012199874284
lh_cuneus_thickness.aparcnative71 convgroup 2.8886353894936e-05 0.000210857430520137 0.136994716399986 0.891101728935151 convgroup 0.0134821385998403 0.95 -0.179415259510678 0.206363210138101
lh_entorhinal_thickness.aparcnative71 convgroup 0.000930005434144651 0.00223297138728408 0.416487841913549 0.677269424979778 convgroup 0.0409880538270702 0.95 -0.151944033907307 0.233870541967826
lh_fusiform_thickness.aparcnative71 convgroup -0.00025429894101383 0.000180320618239999 -1.41025992199832 0.159215629452198 convgroup -0.138788708278849 0.95 -0.331823894870642 0.0544140736281354
lh_inferiorparietal_thickness.aparcnative71 convgroup -0.00060914030705407 0.000555890861471598 -1.09579118721525 0.27380874096943 convgroup -0.107840718611255 0.95 -0.300802663113524 0.0852515605484677
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000167613812513063 0.000296913827830887 0.564520062058313 0.572706711713772 convgroup 0.0555564325330535 0.95 -0.137401398500952 0.248447049076764
lh_isthmuscingulate_thickness.aparcnative71 convgroup -9.94531934441605e-05 0.000206919903206927 -0.480636187736392 0.631029589512799 convgroup -0.0473011213092417 0.95 -0.240186503827226 0.145641488861964
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.000103390941186278 0.000203736378279961 0.507474129358501 0.6120930636783 convgroup 0.0499423388553786 0.95 -0.143004966946176 0.242829216095356
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 5.30181266842017e-05 0.00028227664045407 0.187823287817641 0.851107424143095 convgroup 0.0184843595810049 0.95 -0.174417995801474 0.211364334619339
lh_lingual_thickness.aparcnative71 convgroup -0.000103606901252785 7.81671972406691e-05 -1.32545242646719 0.18575386396016 convgroup -0.130442500197965 0.95 -0.323455660302089 0.062728219385789
lh_medialorbitofrontal_thickness.aparcnative71 convgroup -0.000424417434182359 0.000520282772000701 -0.815743778234862 0.415116901924781 convgroup -0.0802802543713352 0.95 -0.273196389116282 0.112732964882141
lh_middletemporal_thickness.aparcnative71 convgroup -5.54878978027343e-05 8.82741487212034e-05 -0.628586042534174 0.529967574100531 convgroup -0.0618613941476921 0.95 -0.254757127222161 0.131109161681358
lh_parahippocampal_thickness.aparcnative71 convgroup 0.000847427488503884 0.00117430452855726 0.721642016951962 0.470922944365615 convgroup 0.0710193644520413 0.95 -0.121971390549375 0.263924220074815
lh_paracentral_thickness.aparcnative71 convgroup 0.000582404435262837 0.000234135624433982 2.48746612853464 0.0132593473637824 convgroup 0.244800412662598 0.95 0.0510456086087316 0.438261031885163
lh_parsopercularis_thickness.aparcnative71 convgroup 0.00018214231179074 0.000249269989337095 0.730702930886815 0.465374937985616 convgroup 0.0719110813059544 0.95 -0.121081731439253 0.264816932449692
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.000677527276650824 0.000375205456893855 1.80575006093926 0.0716853638823071 convgroup 0.177710303273095 0.95 -0.0156640040664781 0.37087032509871
lh_parstriangularis_thickness.aparcnative71 convgroup 8.68150526988215e-05 0.000127984510887724 0.67832468239052 0.49794573332037 convgroup 0.0667563510769279 0.95 -0.12622475330223 0.259656711641087
lh_pericalcarine_thickness.aparcnative71 convgroup 8.91332733993927e-05 0.000206719797346592 0.431179183336512 0.666563054704651 convgroup 0.0424338811296623 0.95 -0.150500532549322 0.235316943261417
lh_postcentral_thickness.aparcnative71 convgroup -5.44882432690363e-07 1.128600438924e-06 -0.482794808417629 0.629497244215991 convgroup -0.047513558868687 0.95 -0.240399055371402 0.145429429978332
lh_posteriorcingulate_thickness.aparcnative71 convgroup -0.000227749984235975 0.000698245442001969 -0.326174680901581 0.74445740899875 convgroup -0.0321000135715763 0.95 -0.224980045954254 0.1608188745319
lh_precentral_thickness.aparcnative71 convgroup 3.4693944290478e-05 2.44302732266543e-05 1.42012101005181 0.156326881225462 convgroup 0.139759173121407 0.95 -0.0534474480950283 0.332797030780319
lh_precuneus_thickness.aparcnative71 convgroup 0.000161248182861374 0.000185036140727949 0.871441558535584 0.384019386658946 convgroup 0.0857616715635522 0.95 -0.107265805185749 0.278685461378291
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup -0.000853518969456258 0.000501056835248096 -1.70343743346729 0.0892385134522417 convgroup -0.167641352730043 0.95 -0.360765587518108 0.0256851091705309
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.000451380806234044 0.000268716913808073 1.67976328634243 0.0937596155038032 convgroup 0.165311495483297 0.95 -0.0280042315164261 0.358427796050726
lh_superiorfrontal_thickness.aparcnative71 convgroup 0.000226610725993464 9.39424899514198e-05 2.41222822719145 0.0162904292645946 convgroup 0.23739598247342 0.95 0.0436884330790141 0.430818129905405
lh_superiorparietal_thickness.aparcnative71 convgroup 9.48056513304355e-05 0.000184955207168472 0.512587089500427 0.608514213607763 convgroup 0.050445523497096 0.95 -0.142502693908913 0.243332707164541
lh_superiortemporal_thickness.aparcnative71 convgroup 0.000152262761554114 0.000548368365544865 0.277665108202994 0.781408386643005 convgroup 0.0273260135245099 0.95 -0.165586563034322 0.220205515754607
lh_supramarginal_thickness.aparcnative71 convgroup 1.76993237428812e-05 0.000205981666068045 0.085926694742989 0.931566331262934 convgroup 0.00845635246667998 0.95 -0.184436663922983 0.201339141840053
lh_frontalpole_thickness.aparcnative71 convgroup 0.000174459913130031 0.000377891358431583 0.461666850107707 0.644563315494326 convgroup 0.0454342811435933 0.95 -0.147505121855557 0.238318709551696
lh_temporalpole_thickness.aparcnative71 convgroup -0.000519850427139826 0.000534717079087794 -0.972197162706436 0.331521511882378 convgroup -0.0956773898907899 0.95 -0.288616856780761 0.0973777487831473
lh_transversetemporal_thickness.aparcnative71 convgroup 0.000242865140335918 0.000193354998233091 1.25605824806837 0.209804918219186 convgroup 0.123613171623983 0.95 -0.0695325528989185 0.316609562080697
lh_insula_thickness.aparcnative71 convgroup 0.000465345905614979 0.000518983379412191 0.896648956546617 0.370428613055403 convgroup 0.0882424214979791 0.95 -0.104791772770715 0.281169910136176
lh_MeanThickness_thickness.aparcnative71 convgroup 0.000170081742246423 0.000154284955974106 1.10238708092167 0.270935404716896 convgroup 0.108489844033583 0.95 -0.0846045183177628 0.301453083046529
rh_bankssts_thickness.aparcnative71 convgroup -0.000196663917905865 0.000122835753946804 -1.60103155300396 0.110134521401919 convgroup -0.157563224827546 0.95 -0.350654075035806 0.0357177628635791
rh_caudalanteriorcingulate_thickness.aparcnative71 convgroup -0.000341048941814471 0.000685458122672624 -0.497548910040936 0.619066814578681 convgroup -0.0489655626264143 0.95 -0.241851878290188 0.143979985020403
rh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000187391722050425 0.000112874880569651 1.66017205160888 0.0976388580844127 convgroup 0.163383452205712 0.95 -0.0299235079189713 0.35649327265835
rh_cuneus_thickness.aparcnative71 convgroup 1.15705073616727e-05 5.87283893458873e-05 0.197017277172833 0.843910936453308 convgroup 0.0193891728616153 0.95 -0.173514130461165 0.212269016962884
rh_entorhinal_thickness.aparcnative71 convgroup 0.000172653490407459 0.000815333629145818 0.21175808802139 0.83240022715207 convgroup 0.0208398686268009 0.95 -0.172065024387026 0.213719541947758
rh_fusiform_thickness.aparcnative71 convgroup -0.000294169037355995 0.000210858369214041 -1.39510249677302 0.163734695728274 convgroup -0.137297012007092 0.95 -0.330328134871183 0.0558999130353106
rh_inferiorparietal_thickness.aparcnative71 convgroup -0.000187095182172447 0.00020515874867634 -0.911953223440693 0.362325338494783 convgroup -0.0897485689820356 0.95 -0.282678372680144 0.103289759889057
rh_inferiortemporal_thickness.aparcnative71 convgroup -0.000900260610398173 0.000707484709461355 -1.27248066051291 0.203918311906721 convgroup -0.12522935979926 0.95 -0.318229628112124 0.0679221696117881
rh_isthmuscingulate_thickness.aparcnative71 convgroup 0.000104425086495096 0.000461653196351775 0.22619812300731 0.821159233688086 convgroup 0.0222609639666993 0.95 -0.170645509973946 0.215140508350161
rh_lateraloccipital_thickness.aparcnative71 convgroup -4.29198757420437e-05 0.000169174912453835 -0.253701184883166 0.799852667606845 convgroup -0.0249676383689999 0.95 -0.217847080940005 0.167942023530155
rh_lateralorbitofrontal_thickness.aparcnative71 convgroup -0.000451596100235349 0.000321067379689975 -1.40654619186606 0.160313990988757 convgroup -0.138423226852403 0.95 -0.331457407269063 0.0547781121967932
rh_lingual_thickness.aparcnative71 convgroup 8.4426298871297e-05 6.17093912392127e-05 1.36812723599919 0.172016116677362 convgroup 0.134642280393519 0.95 -0.0585443596301924 0.327666311369795
rh_medialorbitofrontal_thickness.aparcnative71 convgroup -0.000210462704849373 0.000443097987115217 -0.474980051747894 0.635052268866529 convgroup -0.0467444807953562 0.95 -0.239629573142141 0.146197166628283
rh_middletemporal_thickness.aparcnative71 convgroup -0.000580641332443118 0.000382244140320412 -1.5190326579144 0.129519404563977 convgroup -0.149493421132319 0.95 -0.342559304222434 0.0437529132345521
rh_parahippocampal_thickness.aparcnative71 convgroup -0.000279457256155621 0.000857624643212898 -0.325850310351038 0.744702646212216 convgroup -0.0320680911089073 0.95 -0.224948120293508 0.160850742333001
rh_paracentral_thickness.aparcnative71 convgroup -9.43714521011513e-05 4.05184341933353e-05 -2.32909918608538 0.0203353761874216 convgroup -0.229214957078312 0.95 -0.422596122278621 -0.035558103173316
rh_parsopercularis_thickness.aparcnative71 convgroup 0.000158674133682152 0.00015337295755933 1.03456395577931 0.301477989549477 convgroup 0.101815128413355 0.95 -0.0912583158168685 0.294765491750098
rh_parsorbitalis_thickness.aparcnative71 convgroup -4.14390546677745e-05 0.000375346925065049 -0.110402009182819 0.912144187422811 convgroup -0.0108650554460636 0.95 -0.203746945991165 0.182029990100549
rh_parstriangularis_thickness.aparcnative71 convgroup 0.000194466365472319 0.000189772031968192 1.02473669831871 0.306087266178995 convgroup 0.100847992960092 0.95 -0.092222506158411 0.29379660177287
rh_pericalcarine_thickness.aparcnative71 convgroup -1.42395801540093e-05 3.74173303075172e-05 -0.380561093936425 0.703724613034837 convgroup -0.0374523744344803 0.95 -0.230333667118197 0.155474229756396
rh_postcentral_thickness.aparcnative71 convgroup -2.03495514522535e-05 9.03358712903793e-05 -0.225265458356416 0.821884190046588 convgroup -0.0221691771122792 0.95 -0.215048734780458 0.170737202084483
rh_posteriorcingulate_thickness.aparcnative71 convgroup -0.000170111201075819 0.000583951298156679 -0.291310596641874 0.770960032667156 convgroup -0.0286689147051537 0.95 -0.221548513111101 0.16424538759042
rh_precentral_thickness.aparcnative71 convgroup 4.53726955375378e-05 2.51737145131038e-05 1.80238381244531 0.0722139911657503 convgroup 0.177379018753885 0.95 -0.0159937094369906 0.370537829968251
rh_precuneus_thickness.aparcnative71 convgroup -0.000101149228425362 0.000158845697705336 -0.636776632206918 0.52462313146236 convgroup -0.0626674592871676 0.95 -0.255563895306669 0.130304792133808
rh_rostralanteriorcingulate_thickness.aparcnative71 convgroup -0.000131840271922148 0.000474363543152111 -0.27793086932035 0.781204507885265 convgroup -0.0273521680238424 0.95 -0.220231677993118 0.165560445278291
rh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.000224105815114134 0.000213677051272893 1.04880619504582 0.294880680379474 convgroup 0.103216757971115 0.95 -0.089860987998135 0.29616973538453
rh_superiorfrontal_thickness.aparcnative71 convgroup -0.00114091874682872 0.000810631758414981 -1.40744392874459 0.160047953671434 convgroup -0.138511576340182 0.95 -0.331545999921347 0.0546901099640329
rh_superiorparietal_thickness.aparcnative71 convgroup 0.000279071088985822 0.000192212094346728 1.45189141159043 0.147291018150185 convgroup 0.142885811638367 0.95 -0.0503333158164 0.335932425073484
rh_superiortemporal_thickness.aparcnative71 convgroup 0.000196889225527029 0.000504376447826119 0.390361656210611 0.696470396094507 convgroup 0.0384168827192462 0.95 -0.154511181604077 0.231298463576469
rh_supramarginal_thickness.aparcnative71 convgroup 0.000194335821462647 0.000189956346151181 1.02305516714867 0.306880627319369 convgroup 0.100682507480869 0.95 -0.0923874877186179 0.293630786969194
rh_frontalpole_thickness.aparcnative71 convgroup 0.000760709058485038 0.00050803298726014 1.49736154454773 0.135063056578366 convgroup 0.147360689581058 0.95 -0.0458767598341853 0.340420239179893
rh_temporalpole_thickness.aparcnative71 convgroup -0.000132634251322278 0.00171365391328768 -0.0773985052021479 0.938344011936896 convgroup -0.00761706292021584 0.95 -0.200500198903351 0.185275298363355
rh_transversetemporal_thickness.aparcnative71 convgroup -0.000845283117542623 0.000355361892186441 -2.37865436932991 0.0178297621568785 convgroup -0.234091859388125 0.95 -0.427497260002613 -0.0404049699459528
rh_insula_thickness.aparcnative71 convgroup 0.000184253688874251 0.000493258258170963 0.373544052881095 0.708935233863608 convgroup 0.0367618023996253 0.95 -0.156163762860408 0.229642886721394
rh_MeanThickness_thickness.aparcnative71 convgroup 4.19697351684529e-05 0.000182256755762822 0.230278076622135 0.81798971245142 convgroup 0.0226624867521138 0.95 -0.170244456085886 0.215542007351388
