model effect group term estimate std.error statistic df p.value d CI CI_low CI_high ROI plotrois hemi label pCol pInd pIndFDR FDRind
1 fixed NA convgroup 0.479710284646058 0.0165703788028502 28.9498683375629 1030.6300257118 2.45217331458008e-135 1.2269206614149 0.95 1.1362610282005 1.31734616362387 CTX_LH_BANKSSTS_SUVR lh_bankssts left lh_bankssts #aad6e7 1 2 1
2 fixed NA convgroup 0.422467956588018 0.0138599272925174 30.4812534490059 1000.22631556125 7.46845098583761e-145 1.29182209764612 0.95 1.20038306433496 1.38301852770697 CTX_LH_CAUDALANTERIORCINGULATE_SUVR lh_caudalanteriorcingulate left lh_caudalanteriorcingulate #aad6e7 1 2 1
3 fixed NA convgroup 0.43973723093545 0.0135485052423518 32.4565125871493 1029.67094378695 9.95136219077148e-160 1.37553530214081 0.95 1.28304280675021 1.46777494130736 CTX_LH_CAUDALMIDDLEFRONTAL_SUVR lh_caudalmiddlefrontal left lh_caudalmiddlefrontal #aad6e7 1 2 1
4 fixed NA convgroup 0.237521017379043 0.0131446110125121 18.0698399635373 1073.28551524782 6.28554532351361e-64 0.765815572672513 0.95 0.67967964942118 0.85179069075552 CTX_LH_CUNEUS_SUVR lh_cuneus left lh_cuneus #aad6e7 1 2 1
5 fixed NA convgroup 0.134778079652057 0.00853051012707514 15.79953339769 943.764884448649 4.55835701221811e-50 0.669598000941119 0.95 0.584165921766293 0.754887310534924 CTX_LH_ENTORHINAL_SUVR lh_entorhinal left lh_entorhinal #aad6e7 1 2 1
6 fixed NA convgroup 0.488082324054923 0.016398617321226 29.7636266823034 1008.92766866037 3.09699251512323e-140 1.2614084495775 0.95 1.17033877517379 1.35223943184316 CTX_LH_FRONTALPOLE_SUVR lh_frontalpole left lh_frontalpole #aad6e7 1 2 1
7 fixed NA convgroup 0.330321115505834 0.0124312061386805 26.5719280833111 1023.44416429988 9.77439619184998e-119 1.12614148012356 0.95 1.03662534461906 1.21543756553053 CTX_LH_FUSIFORM_SUVR lh_fusiform left lh_fusiform #aad6e7 1 2 1
8 fixed NA convgroup 0.454654502756634 0.0142260683376198 31.9592519849165 1034.11083504854 1.91337022093935e-156 1.35446096425875 0.95 1.26223867942028 1.44643290322774 CTX_LH_INFERIORPARIETAL_SUVR lh_inferiorparietal left lh_inferiorparietal #aad6e7 1 2 1
9 fixed NA convgroup 0.419319287429795 0.0144560819611974 29.0064270910555 1013.12977783589 3.674780823188e-135 1.22931767070126 0.95 1.1386298462811 1.31977104384994 CTX_LH_INFERIORTEMPORAL_SUVR lh_inferiortemporal left lh_inferiortemporal #aad6e7 1 2 1
10 fixed NA convgroup 0.319997591365084 0.0116944005146781 27.3633172528548 1018.93072952697 4.89009148168788e-124 1.15968124313773 0.95 1.0697937217402 1.24934390537005 CTX_LH_INSULA_SUVR lh_insula left lh_insula #aad6e7 1 2 1
11 fixed NA convgroup 0.395176146944108 0.0125216631486105 31.5593976817657 997.561326422109 3.75610169015472e-152 1.33751479025993 0.95 1.24550737243187 1.42927391814429 CTX_LH_ISTHMUSCINGULATE_SUVR lh_isthmuscingulate left lh_isthmuscingulate #aad6e7 1 2 1
12 fixed NA convgroup 0.287894466661129 0.0142270559665972 20.235702125377 1043.31640152875 4.54388567064357e-77 0.857606699497431 0.95 0.770719144208413 0.944317072189256 CTX_LH_LATERALOCCIPITAL_SUVR lh_lateraloccipital left lh_lateraloccipital #aad6e7 1 2 1
13 fixed NA convgroup 0.417517595654977 0.0131566827401753 31.7342603679302 1007.02300672877 9.41793100173337e-154 1.34492562336162 0.95 1.252824514541 1.43677753752054 CTX_LH_LATERALORBITOFRONTAL_SUVR lh_lateralorbitofrontal left lh_lateralorbitofrontal #aad6e7 1 2 1
