model effect group term estimate std.error statistic df p.value d CI CI_low CI_high ROI plotrois hemi label pCol pInd pIndFDR FDRind
1 fixed NA convgroup 0.148112885749076 0.0146165150678617 10.1332557768672 392.817044539093 1.36078598830025e-21 0.592750248941228 0.95 0.475489339931141 0.709767759566595 CTX_LH_BANKSSTS_SUVR lh_bankssts left lh_bankssts #aad6e7 1 2 1
2 fixed NA convgroup 0.169611646342474 0.0131058657401603 12.9416590788606 371.715338724856 6.98664293019609e-32 0.757029311173549 0.95 0.638193863916371 0.875561499187975 CTX_LH_CAUDALANTERIORCINGULATE_SUVR lh_caudalanteriorcingulate left lh_caudalanteriorcingulate #aad6e7 1 2 1
3 fixed NA convgroup 0.151388022889462 0.00968594521780744 15.6296592108675 383.774678903926 5.7987224779144e-43 0.914265325193683 0.95 0.793598636805962 1.03457606224798 CTX_LH_CAUDALMIDDLEFRONTAL_SUVR lh_caudalmiddlefrontal left lh_caudalmiddlefrontal #aad6e7 1 2 1
4 fixed NA convgroup 0.0807986070582029 0.0104012726470599 7.76814624516568 402.310111728562 6.69254163877823e-14 0.454401894319634 0.95 0.33818807965463 0.570426020281173 CTX_LH_CUNEUS_SUVR lh_cuneus left lh_cuneus #aad6e7 1 2 1
5 fixed NA convgroup 0.0511075809342649 0.00896596344469008 5.70017725920268 348.358000733033 2.55305861147656e-08 0.333434935799687 0.95 0.21792166932217 0.448807452278058 CTX_LH_ENTORHINAL_SUVR lh_entorhinal left lh_entorhinal #aad6e7 1 2 1
6 fixed NA convgroup 0.158202519481009 0.0141977810341917 11.1427637248398 365.528044416612 5.05516023517241e-25 0.651801959531119 0.95 0.534015844284606 0.769322635537868 CTX_LH_FRONTALPOLE_SUVR lh_frontalpole left lh_frontalpole #aad6e7 1 2 1
7 fixed NA convgroup 0.102069116875564 0.00910550561585582 11.2096045163958 371.630877521725 2.55443018035533e-25 0.65571184759737 0.95 0.537889319902337 0.77326748984417 CTX_LH_FUSIFORM_SUVR lh_fusiform left lh_fusiform #aad6e7 1 2 1
8 fixed NA convgroup 0.176570914885686 0.011396712287368 15.4931449029731 370.530872546106 4.28812769612699e-42 0.906279847300865 0.95 0.785713582446036 1.02649272218047 CTX_LH_INFERIORPARIETAL_SUVR lh_inferiorparietal left lh_inferiorparietal #aad6e7 1 2 1
9 fixed NA convgroup 0.124806331903623 0.00911918514961528 13.6861276370607 352.140442161094 1.74260481513529e-34 0.800577400052288 0.95 0.681265924772118 0.919570548792645 CTX_LH_INFERIORTEMPORAL_SUVR lh_inferiortemporal left lh_inferiortemporal #aad6e7 1 2 1
10 fixed NA convgroup 0.0910882666217164 0.00774593690514301 11.7594898767168 400.686410124652 1.24760947389864e-27 0.687877687619244 0.95 0.569748066003303 0.805728685375813 CTX_LH_INSULA_SUVR lh_insula left lh_insula #aad6e7 1 2 1
11 fixed NA convgroup 0.164927849591847 0.0104206866660671 15.8269656191565 396.697434004289 4.39891839471468e-44 0.925806869708728 0.95 0.804993661375258 1.04626045219311 CTX_LH_ISTHMUSCINGULATE_SUVR lh_isthmuscingulate left lh_isthmuscingulate #aad6e7 1 2 1
12 fixed NA convgroup 0.10086118681302 0.0129018302070094 7.81758752011971 373.139837503878 5.55701287143259e-14 0.457293988300315 0.95 0.341060956240189 0.573336168714441 CTX_LH_LATERALOCCIPITAL_SUVR lh_lateraloccipital left lh_lateraloccipital #aad6e7 1 2 1
13 fixed NA convgroup 0.13840935903093 0.00979482354869522 14.1308680389008 405.439542996312 3.80268851754487e-37 0.826592729153794 0.95 0.706985390986966 0.945872917385644 CTX_LH_LATERALORBITOFRONTAL_SUVR lh_lateralorbitofrontal left lh_lateralorbitofrontal #aad6e7 1 2 1
14 fixed NA convgroup 0.0596304239374078 0.00923945928650349 6.45388675769292 397.199115774884 3.17991984981783e-10 0.377523578452856 0.95 0.261778499896136 0.493109880550763 CTX_LH_LINGUAL_SUVR lh_lingual left lh_lingual #aad6e7 1 2 1
15 fixed NA convgroup 0.164417794564945 0.0111884600517038 14.6953015701126 395.956650384091 2.52016519239623e-39 0.859609572259675 0.95 0.739614505184858 0.979266456515271 CTX_LH_MEDIALORBITOFRONTAL_SUVR lh_medialorbitofrontal left lh_medialorbitofrontal #aad6e7 1 2 1
16 fixed NA convgroup 0.124655263319437 0.00912639897601098 13.6587567174192 390.554254022889 5.41173461833137e-35 0.798976323380729 0.95 0.679682778402285 0.917952094907162 CTX_LH_MIDDLETEMPORAL_SUVR lh_middletemporal left lh_middletemporal #aad6e7 1 2 1
17 fixed NA convgroup 0.0956527884883839 0.0116679707213477 8.19789411310211 377.599769248564 3.85863253278108e-15 0.479540227083601 0.95 0.363155486083167 0.595725314034392 CTX_LH_PARACENTRAL_SUVR lh_paracentral left lh_paracentral #aad6e7 1 2 1
18 fixed NA convgroup 0.0808493967383849 0.00785158584824742 10.2972059786408 366.805278273573 5.18884202449211e-22 0.602340604208597 0.95 0.484997543903272 0.719436648753434 CTX_LH_PARAHIPPOCAMPAL_SUVR lh_parahippocampal left lh_parahippocampal #aad6e7 1 2 1
19 fixed NA convgroup 0.13568437375984 0.00956341330970189 14.1878604809635 428.920122291708 9.8222833732526e-38 0.829926532717459 0.95 0.710280670894635 0.949244113993155 CTX_LH_PARSOPERCULARIS_SUVR lh_parsopercularis left lh_parsopercularis #aad6e7 1 2 1
20 fixed NA convgroup 0.147579270473907 0.0111706751105192 13.2113116721956 400.745382970404 2.48597104815216e-33 0.772802784709252 0.95 0.653797714903245 0.891499103889427 CTX_LH_PARSORBITALIS_SUVR lh_parsorbitalis left lh_parsorbitalis #aad6e7 1 2 1
21 fixed NA convgroup 0.145960916657599 0.0104045266003373 14.0285975772188 400.255832604076 1.20622379265374e-36 0.820610363470322 0.95 0.701071818457901 0.939823773478376 CTX_LH_PARSTRIANGULARIS_SUVR lh_parstriangularis left lh_parstriangularis #aad6e7 1 2 1
22 fixed NA convgroup 0.0809139342569341 0.0142427411884791 5.6810647042007 414.643192400237 2.52400889863875e-08 0.332316936611194 0.95 0.216809193518336 0.447684395561713 CTX_LH_PERICALCARINE_SUVR lh_pericalcarine left lh_pericalcarine #aad6e7 1 2 1
23 fixed NA convgroup 0.0759584181588748 0.0090135204159529 8.42716437679966 378.773194152625 7.47001148973032e-16 0.492951514519154 0.95 0.376472050160449 0.609226043649363 CTX_LH_POSTCENTRAL_SUVR lh_postcentral left lh_postcentral #aad6e7 1 2 1
24 fixed NA convgroup 0.189623581597652 0.0110022635391116 17.2349608717848 379.274133140224 1.42232762929559e-49 1.0081683095935 0.95 0.886262677115229 1.12968883497676 CTX_LH_POSTERIORCINGULATE_SUVR lh_posteriorcingulate left lh_posteriorcingulate #aad6e7 1 2 1
25 fixed NA convgroup 0.0731788910387414 0.00905314859169873 8.08325305804024 367.691545265278 9.1989479724923e-15 0.472834236884287 0.95 0.356495939826379 0.588975523229175 CTX_LH_PRECENTRAL_SUVR lh_precentral left lh_precentral #aad6e7 1 2 1
26 fixed NA convgroup 0.205810187941235 0.0112572195106597 18.2825064170019 409.057504008681 5.20625470211612e-55 1.06944504990062 0.95 0.946674284316186 1.1918126504939 CTX_LH_PRECUNEUS_SUVR lh_precuneus left lh_precuneus #aad6e7 1 2 1
27 fixed NA convgroup 0.18305170276844 0.0119461601380699 15.3230578405771 395.236819583987 6.26423366519172e-42 0.896330513069406 0.95 0.775888270863904 1.01642256779682 CTX_LH_ROSTRALANTERIORCINGULATE_SUVR lh_rostralanteriorcingulate left lh_rostralanteriorcingulate #aad6e7 1 2 1
28 fixed NA convgroup 0.1745692983509 0.0107136560835615 16.294092043775 396.843358935702 4.54877247637719e-46 0.953131681257618 0.95 0.831965104796322 1.07393001965918 CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR lh_rostralmiddlefrontal left lh_rostralmiddlefrontal #aad6e7 1 2 1
29 fixed NA convgroup 0.150252582376318 0.00885706943411069 16.9641418636348 379.217154855144 1.96852726784686e-48 0.992326605995593 0.95 0.870637411885035 1.11363547834055 CTX_LH_SUPERIORFRONTAL_SUVR lh_superiorfrontal left lh_superiorfrontal #aad6e7 1 2 1
30 fixed NA convgroup 0.153127163240051 0.0109936304367865 13.928716643745 370.453081966875 9.30557862900323e-36 0.814767774525101 0.95 0.695295977531282 0.933916414145155 CTX_LH_SUPERIORPARIETAL_SUVR lh_superiorparietal left lh_superiorparietal #aad6e7 1 2 1
31 fixed NA convgroup 0.0878257651530051 0.00819772281140237 10.713434349213 408.417017810409 9.06301264740914e-24 0.626688106699977 0.95 0.509130998842762 0.743989076824084 CTX_LH_SUPERIORTEMPORAL_SUVR lh_superiortemporal left lh_superiortemporal #aad6e7 1 2 1
32 fixed NA convgroup 0.149781906682177 0.00997417108333187 15.0169778952842 391.860558373589 1.38832989568822e-40 0.878426201980916 0.95 0.758204076121009 0.998303965125737 CTX_LH_SUPRAMARGINAL_SUVR lh_supramarginal left lh_supramarginal #aad6e7 1 2 1
33 fixed NA convgroup 0.0651709280091345 0.00921723886023395 7.07054780692538 377.396879720538 7.52351283503717e-12 0.413595498326757 0.95 0.297640652948349 0.529376966126392 CTX_LH_TEMPORALPOLE_SUVR lh_temporalpole left lh_temporalpole #aad6e7 1 2 1
34 fixed NA convgroup 0.0561479546464057 0.0116386086986982 4.82428407896264 397.866252667176 2.00508446025487e-06 0.282199092940728 0.95 0.166921057529649 0.397357561997814 CTX_LH_TRANSVERSETEMPORAL_SUVR lh_transversetemporal left lh_transversetemporal #aad6e7 1 2 1
35 fixed NA convgroup 0.147125532866323 0.0130344239642473 11.2874595202581 371.793013297587 1.31810996357553e-25 0.660266017938758 0.95 0.542400841521589 0.777862641794124 CTX_RH_BANKSSTS_SUVR rh_bankssts right rh_bankssts #aad6e7 1 2 1
36 fixed NA convgroup 0.167012192655973 0.01247138933909 13.3916268761247 367.783992074585 1.3779754637302e-33 0.783350419583019 0.95 0.664230141449419 0.902158297337701 CTX_RH_CAUDALANTERIORCINGULATE_SUVR rh_caudalanteriorcingulate right rh_caudalanteriorcingulate #aad6e7 1 2 1
37 fixed NA convgroup 0.137045482360952 0.0100689827329863 13.6106581960844 352.452846722241 3.38815944828507e-34 0.796162774495486 0.95 0.67690065845464 0.915108080610205 CTX_RH_CAUDALMIDDLEFRONTAL_SUVR rh_caudalmiddlefrontal right rh_caudalmiddlefrontal #aad6e7 1 2 1
38 fixed NA convgroup 0.0604162524443543 0.00996005345502145 6.06585624436533 398.956136195536 3.04991301886405e-09 0.354825524793064 0.95 0.2392031792724 0.47029835906185 CTX_RH_CUNEUS_SUVR rh_cuneus right rh_cuneus #aad6e7 1 2 1
39 fixed NA convgroup 0.0395593654045299 0.0094685687069389 4.17796676867745 362.128764357933 3.69038936120331e-05 0.244392414119776 0.95 0.129264280871064 0.359416765634234 CTX_RH_ENTORHINAL_SUVR rh_entorhinal right rh_entorhinal #aad6e7 1 2 1
40 fixed NA convgroup 0.182617842729777 0.0147626224363873 12.3702847184966 380.189656814217 9.01240839111699e-30 0.723606460531846 0.95 0.605119890235023 0.841801584561734 CTX_RH_FRONTALPOLE_SUVR rh_frontalpole right rh_frontalpole #aad6e7 1 2 1
41 fixed NA convgroup 0.0842562779229558 0.00889682016676861 9.47038114108115 382.64779761126 2.94725584595783e-19 0.553975040456312 0.95 0.437033710701407 0.670687752755181 CTX_RH_FUSIFORM_SUVR rh_fusiform right rh_fusiform #aad6e7 1 2 1
42 fixed NA convgroup 0.155821915620326 0.0108682325918801 14.3373740213054 363.566227776351 2.88945970312322e-37 0.838672407706623 0.95 0.718924794559391 0.958088806386482 CTX_RH_INFERIORPARIETAL_SUVR rh_inferiorparietal right rh_inferiorparietal #aad6e7 1 2 1
43 fixed NA convgroup 0.108430890423625 0.00983360234634083 11.0265685559243 364.38557771848 1.36527231752727e-24 0.645005060605736 0.95 0.527281749892373 0.762465444019967 CTX_RH_INFERIORTEMPORAL_SUVR rh_inferiortemporal right rh_inferiortemporal #aad6e7 1 2 1
44 fixed NA convgroup 0.0934592000191194 0.0080955194238144 11.5445588017728 385.981393934222 1.09652798999335e-26 0.675305178745137 0.95 0.557297195693539 0.793039069366357 CTX_RH_INSULA_SUVR rh_insula right rh_insula #aad6e7 1 2 1
45 fixed NA convgroup 0.15913102679947 0.0105350933017889 15.1048521584948 388.949346995289 6.84252889356805e-41 0.883566454288821 0.95 0.763281543349361 1.0035053259924 CTX_RH_ISTHMUSCINGULATE_SUVR rh_isthmuscingulate right rh_isthmuscingulate #aad6e7 1 2 1
46 fixed NA convgroup 0.0816578420635573 0.0109908954825638 7.42958953554797 379.738316558949 7.26740137318684e-13 0.434597837427599 0.95 0.318512571184573 0.550501306418421 CTX_RH_LATERALOCCIPITAL_SUVR rh_lateraloccipital right rh_lateraloccipital #aad6e7 1 2 1
47 fixed NA convgroup 0.138114254104222 0.0103958555694021 13.2855110560337 383.947564304618 2.10416934045297e-33 0.777143117590395 0.95 0.658090812733426 0.895885171710923 CTX_RH_LATERALORBITOFRONTAL_SUVR rh_lateralorbitofrontal right rh_lateralorbitofrontal #aad6e7 1 2 1
48 fixed NA convgroup 0.0407847030262605 0.00823521740378 4.95247435818029 405.741958829309 1.07714462979593e-06 0.289697652297294 0.95 0.174387496167325 0.404885132009615 CTX_RH_LINGUAL_SUVR rh_lingual right rh_lingual #aad6e7 1 2 1
49 fixed NA convgroup 0.179405224625544 0.0120412059713587 14.8992737980132 369.98408927239 1.1703810761924e-39 0.871541037479487 0.95 0.75140252233725 0.991337457165317 CTX_RH_MEDIALORBITOFRONTAL_SUVR rh_medialorbitofrontal right rh_medialorbitofrontal #aad6e7 1 2 1
50 fixed NA convgroup 0.120526744047311 0.00889651497921183 13.547635712292 369.116598827979 3.18991151227e-34 0.792476240396334 0.95 0.67325513366892 0.911381789337534 CTX_RH_MIDDLETEMPORAL_SUVR rh_middletemporal right rh_middletemporal #aad6e7 1 2 1
51 fixed NA convgroup 0.0971406076554268 0.0119999593208242 8.09507807971091 351.773584575633 9.44599553849719e-15 0.473525947889454 0.95 0.357182891053279 0.589671724417697 CTX_RH_PARACENTRAL_SUVR rh_paracentral right rh_paracentral #aad6e7 1 2 1
52 fixed NA convgroup 0.0677136841239454 0.00825765935263239 8.20010625678806 371.498920337735 3.9563065951015e-15 0.479669627618771 0.95 0.363283985546482 0.595855560293239 CTX_RH_PARAHIPPOCAMPAL_SUVR rh_parahippocampal right rh_parahippocampal #aad6e7 1 2 1
53 fixed NA convgroup 0.14275255845244 0.00980515312137809 14.5589320926767 394.480694257628 9.82724836542776e-39 0.85163256630245 0.95 0.731732422136166 0.97119718464001 CTX_RH_PARSOPERCULARIS_SUVR rh_parsopercularis right rh_parsopercularis #aad6e7 1 2 1
54 fixed NA convgroup 0.161381512306766 0.0115915548694832 13.9223351934978 381.18842668336 6.54224674901702e-36 0.814394488159299 0.95 0.694926938912519 0.933539005774226 CTX_RH_PARSORBITALIS_SUVR rh_parsorbitalis right rh_parsorbitalis #aad6e7 1 2 1
55 fixed NA convgroup 0.149604309266375 0.0106057639289368 14.1059437367066 380.748184148183 1.20776485489562e-36 0.825134768686237 0.95 0.705544240905314 0.944398640359041 CTX_RH_PARSTRIANGULARIS_SUVR rh_parstriangularis right rh_parstriangularis #aad6e7 1 2 1
