ROI SUVR plotrois hemi label SUVR_Z_within SUVR_Z_across
CTX_LH_BANKSSTS_SUVR 1.37538401639344 lh_bankssts left lh_bankssts 2.18623875247602 4.29909216367561
CTX_LH_CAUDALANTERIORCINGULATE_SUVR 1.30161510538642 lh_caudalanteriorcingulate left lh_caudalanteriorcingulate 1.41194654120421 3.35433079035355
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR 1.22326696330991 lh_caudalmiddlefrontal left lh_caudalmiddlefrontal 0.589589868870039 2.35092302284051
CTX_LH_CUNEUS_SUVR 1.16588039422326 lh_cuneus left lh_cuneus -0.0127502344178307 1.61597095318908
CTX_LH_ENTORHINAL_SUVR 0.9782412470726 lh_entorhinal left lh_entorhinal -1.98224562461827 -0.787131057279223
CTX_LH_FRONTALPOLE_SUVR 0.972406930132709 lh_frontalpole left lh_frontalpole -2.04348370042799 -0.861851386063829
CTX_LH_FUSIFORM_SUVR 1.1551514863388 lh_fusiform left lh_fusiform -0.125362847197259 1.47856540376721
CTX_LH_INFERIORPARIETAL_SUVR 1.21848609758002 lh_inferiorparietal left lh_inferiorparietal 0.539409012906959 2.28969428554469
CTX_LH_INFERIORTEMPORAL_SUVR 1.15508701483216 lh_inferiortemporal left lh_inferiortemporal -0.126039552122888 1.47773971462096
CTX_LH_INSULA_SUVR 1.13954029664325 lh_insula left lh_insula -0.289220797991735 1.27863227726959
CTX_LH_ISTHMUSCINGULATE_SUVR 1.29952793130367 lh_isthmuscingulate left lh_isthmuscingulate 1.39003917380812 3.32760026897455
CTX_LH_LATERALOCCIPITAL_SUVR 1.14408735831382 lh_lateraloccipital left lh_lateraloccipital -0.241493992923954 1.33686667669103
CTX_LH_LATERALORBITOFRONTAL_SUVR 1.21521554020297 lh_lateralorbitofrontal left lh_lateralorbitofrontal 0.505080634339388 2.24780812731233
CTX_LH_LINGUAL_SUVR 1.07154008079625 lh_lingual left lh_lingual -1.00296371186117 0.40775081199102
CTX_LH_MEDIALORBITOFRONTAL_SUVR 1.17923845355191 lh_medialorbitofrontal left lh_medialorbitofrontal 0.12745844095349 1.78704814958486
CTX_LH_MIDDLETEMPORAL_SUVR 1.1033673852459 lh_middletemporal left lh_middletemporal -0.668898404338977 0.815364364238329
CTX_LH_PARACENTRAL_SUVR 1.21926594067135 lh_paracentral left lh_paracentral 0.547594391047856 2.2996817669903
CTX_LH_PARAHIPPOCAMPAL_SUVR 1.02247051795472 lh_parahippocampal left lh_parahippocampal -1.51800697060049 -0.220685028332849
