"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.267606051710113 0.014 TRUE "0" "1" "#5B3976"
2 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.24442671265866 0.0315 TRUE "0" "1" "#5B3976"
3 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.235757437776012 0.03 TRUE "0" "1" "#5B3976"
4 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.233245974735502 0.0325 TRUE "0" "1" "#5B3976"
5 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.169363701116417 0.1025 FALSE "1" NA "#5B3976"
6 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.237054542090467 0.0325 TRUE "0" "1" "#5B3976"
7 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.208552330601506 0.0605 FALSE "1" NA "#5B3976"
8 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.24853733419855 0.025 TRUE "0" "1" "#5B3976"
9 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.258260150148236 0.035 TRUE "0" "1" "#5B3976"
10 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.251377006547199 0.035 TRUE "0" "1" "#5B3976"
