"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.303231233320453 0.0055 TRUE "0" "1" "#92C051"
2 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.165321263713115 0.077 FALSE "1" NA "#92C051"
3 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.22760974337331 0.023 TRUE "0" "1" "#92C051"
4 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.167569164928585 0.0725 FALSE "1" NA "#92C051"
5 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.156743954137785 0.0935 FALSE "1" NA "#92C051"
6 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0108895209544549 0.4325 FALSE "1" NA "#92C051"
7 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0406577911753932 0.359 FALSE "1" NA "#92C051"
8 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0324066834544547 0.402 FALSE "1" NA "#92C051"
9 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0878754518094138 0.235 FALSE "1" NA "#92C051"
10 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0365613929250756 0.4095 FALSE "1" NA "#92C051"
