"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.418224127977273 0.001 TRUE "0" "1" "#92C051"
2 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.32471516779399 0.0085 TRUE "0" "1" "#92C051"
3 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.331259086589339 0.0055 TRUE "0" "1" "#92C051"
4 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.30390102529933 0.014 TRUE "0" "1" "#92C051"
5 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.229632126456059 0.0395 TRUE "0" "1" "#92C051"
6 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.154871576059953 0.1295 FALSE "1" NA "#92C051"
7 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.205089240596901 0.0735 FALSE "1" NA "#92C051"
8 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.156364742190458 0.1355 FALSE "1" NA "#92C051"
9 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.232679618555327 0.045 TRUE "0" "1" "#92C051"
10 "intercept" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.253763561543549 0.0305 TRUE "0" "1" "#92C051"
