"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.378644716224948 0.002 TRUE "0" "1" "#5B3976"
2 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.383798110197092 0.002 TRUE "0" "1" "#5B3976"
3 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.394044340943513 5e-04 TRUE "0" "1" "#5B3976"
4 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.47959734151315 0 TRUE "0" "1" "#5B3976"
5 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.369421397875382 0.0025 TRUE "0" "1" "#5B3976"
6 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.308061813094647 0.0105 TRUE "0" "1" "#5B3976"
7 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.305083563887916 0.0075 TRUE "0" "1" "#5B3976"
8 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.305139190107821 0.004 TRUE "0" "1" "#5B3976"
9 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.279429779627092 0.0185 TRUE "0" "1" "#5B3976"
10 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.339118397511117 0.0045 TRUE "0" "1" "#5B3976"
