rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -0.0457349187090456 0.0360577142994171 -1.26838097194044 0.210908662082214 convgroup -0.370024759376368 0.95 -0.944719840361321 0.208532931398703
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.0149285232032427 0.0478298318702736 0.312117409146086 0.756331815053194 convgroup 0.0910540064628774 0.95 -0.481503341253349 0.662646338674401
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.0193413346643481 0.0306425401498836 0.63119227615409 0.530972630125257 convgroup 0.184137711989506 0.95 -0.389819301038091 0.756149041711127
lh_cuneus_thickness.aparcnative71 convgroup 0.00100435774599428 0.030581666999648 0.0328418246790093 0.973939801961481 convgroup 0.00958094495515807 0.95 -0.562253372491195 0.581313638668293
lh_entorhinal_thickness.aparcnative71 convgroup 0.0862214412890763 0.0737690020247517 1.16880314119129 0.2483770737195 convgroup 0.340974920505159 0.95 -0.23670701178888 0.915088839964164
lh_fusiform_thickness.aparcnative71 convgroup -0.0219005952966273 0.029122208460235 -0.75202384896501 0.45578645449926 convgroup -0.21938790467099 0.95 -0.791719235434557 0.355257709223206
lh_inferiorparietal_thickness.aparcnative71 convgroup -0.0276929827216789 0.0277609911413381 -0.997550216441734 0.323605827582029 convgroup -0.291015307679993 0.95 -0.864269589526711 0.285295611740445
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.00691682841790049 0.0336923581984269 0.205293686395137 0.838229245376261 convgroup 0.0598903236411962 0.95 -0.512334961239731 0.63148048290303
lh_isthmuscingulate_thickness.aparcnative71 convgroup -0.0115145224703678 0.0431640252820785 -0.266762017562541 0.790819369986206 convgroup -0.0778224788474424 0.95 -0.649405433805442 0.494585540154849
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.0246380219920441 0.0237225816100293 1.03858940806121 0.304309496906921 convgroup 0.302987670353304 0.95 -0.273636187435041 0.87643185048342
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.00144635862415349 0.026488484932618 0.0546032975397713 0.956685961604405 convgroup 0.0159294190627915 0.95 -0.55594434757957 0.587634188044051
lh_lingual_thickness.aparcnative71 convgroup -0.0411984191666653 0.0236387188308826 -1.74283638049123 0.0879020675013606 convgroup -0.50843762764515 0.95 -1.08671726910701 0.0750748904731137
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.039367058485578 0.0272333881899098 1.44554391143162 0.154940495825418 convgroup 0.421708500701614 0.95 -0.158548856466357 0.997584748184259
lh_middletemporal_thickness.aparcnative71 convgroup -0.0165722498140753 0.0272078376430137 -0.609098379353593 0.545392350884542 convgroup -0.177692259851586 0.95 -0.749654652224524 0.396148255899102
lh_parahippocampal_thickness.aparcnative71 convgroup -0.0516121179993457 0.068361049575081 -0.7549930599392 0.454019962639345 convgroup -0.220254112538002 0.95 -0.792594405418318 0.354409884997913
lh_paracentral_thickness.aparcnative71 convgroup 0.0785729922257111 0.0363613815400993 2.16089127799121 0.0358323129870828 convgroup 0.630396775784124 0.95 0.0414686835509579 1.21293908584559
lh_parsopercularis_thickness.aparcnative71 convgroup 0.0151137618868246 0.0309568753048209 0.48821987807248 0.627664198453083 convgroup 0.142428376728291 0.95 -0.430826169273341 0.714175518023552
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.0280179793410185 0.051059001070424 0.548737318663446 0.585783215316042 convgroup 0.160083128642842 0.95 -0.41345387315194 0.73192699024961
lh_parstriangularis_thickness.aparcnative71 convgroup -0.0148093432773634 0.0296254578655068 -0.499885718040026 0.619487959109087 convgroup -0.145831652023655 0.95 -0.717595688401112 0.427475651881649
lh_pericalcarine_thickness.aparcnative71 convgroup -0.00948789674996857 0.0346012073426257 -0.274207100810621 0.785127087223828 convgroup -0.0799944328568072 0.95 -0.651578019921215 0.492437249255764
lh_postcentral_thickness.aparcnative71 convgroup 0.00183688741523386 0.027691864051723 0.0663331082300169 0.947393991807459 convgroup 0.0193513565360007 0.95 -0.552544862680019 0.59104225756263
lh_posteriorcingulate_thickness.aparcnative71 convgroup 0.0329800772963679 0.0356137085064529 0.926050071151455 0.359150831566007 convgroup 0.270156571510263 0.95 -0.305632725283081 0.843104438425335
lh_precentral_thickness.aparcnative71 convgroup 0.0625903874346771 0.0324823288146855 1.92690578904489 0.0600491427008348 convgroup 0.562136193072553 0.95 -0.0236414390522663 1.14216638553384
lh_precuneus_thickness.aparcnative71 convgroup 0.00580487642774535 0.0298885153490734 0.194217623724335 0.846842516425741 convgroup 0.0566591040665828 0.95 -0.515535704882041 0.628253032152223
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup -0.0708988445665276 0.040774997044492 -1.73878233489915 0.0886202733964518 convgroup -0.507254940993506 0.95 -1.08549826382464 0.0762098389473675
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.0315954167476281 0.0252028286845085 1.2536456579197 0.216171038107845 convgroup 0.365726026467659 0.95 -0.21269842970057 0.9403313409048
lh_superiorfrontal_thickness.aparcnative71 convgroup 0.0612064594538386 0.0304618488834022 2.0092824860407 0.0502693205367491 convgroup 0.586167945486391 0.95 -0.000684351363664336 1.16704613991329
lh_superiorparietal_thickness.aparcnative71 convgroup -0.00194013457147735 0.0328201937150353 -0.0591140499755355 0.953111901537345 convgroup -0.0172453407941752 0.95 -0.588944706956519 0.554636968033769
lh_superiortemporal_thickness.aparcnative71 convgroup -0.0279302828035326 0.0312055517185533 -0.895042108386329 0.375325594030993 convgroup -0.261110619060059 0.95 -0.833935207182 0.314461788786873
lh_supramarginal_thickness.aparcnative71 convgroup 0.00593003716358099 0.0266381066377131 0.222614814342154 0.824799917367006 convgroup 0.0649434160026472 0.95 -0.507331103116058 0.636529239576749
lh_frontalpole_thickness.aparcnative71 convgroup -0.00605676327560901 0.0448613084702036 -0.135010847479668 0.893179846905185 convgroup -0.0393867122394907 0.95 -0.611013216962026 0.532657596930703
lh_temporalpole_thickness.aparcnative71 convgroup 0.00451180162965088 0.0640484873419206 0.0704435314071476 0.944139529562848 convgroup 0.0205504902195705 0.95 -0.55135378968993 0.592236764074486
lh_transversetemporal_thickness.aparcnative71 convgroup -0.0331922182026284 0.0492585759625141 -0.673836333147101 0.50371598188259 convgroup -0.196578262010949 0.95 -0.768692416548607 0.377611722942334
lh_insula_thickness.aparcnative71 convgroup 0.0721192604018395 0.0356811725017838 2.02121329948544 0.0489737332136313 convgroup 0.589648521489749 0.95 0.00263737659838587 1.17065277729614
lh_MeanThickness_thickness.aparcnative71 convgroup 0.016474116319951 0.0195641001704895 0.842058473243793 0.404019706141071 convgroup 0.245653704080872 0.95 -0.329561263418088 0.818281105610826
rh_bankssts_thickness.aparcnative71 convgroup -0.0897001717335537 0.0430253238401911 -2.08482269806328 0.0425438171348286 convgroup -0.608205290255237 0.95 -1.1898958690137 -0.0203344206816635
rh_caudalanteriorcingulate_thickness.aparcnative71 convgroup -0.0137514436358407 0.0526877014739654 -0.260999118411642 0.795233445106974 convgroup -0.0761412683761442 0.95 -0.647723946536491 0.496248621612518
rh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.0334479917346927 0.0311071010003475 1.07525261625373 0.28775064067136 convgroup 0.313683427455878 0.95 -0.263228325696367 0.887305842710782
rh_cuneus_thickness.aparcnative71 convgroup -0.0132878577042928 0.0262857423175364 -0.505515786610595 0.615559238577055 convgroup -0.147474111832012 0.95 -0.719246614957465 0.425858957944549
rh_entorhinal_thickness.aparcnative71 convgroup 0.056062326444736 0.0710488227173009 0.789067634066291 0.434034989632288 convgroup 0.230194687468687 0.95 -0.344679381499104 0.802641920772094
rh_fusiform_thickness.aparcnative71 convgroup 0.00336424927224298 0.0345870998479671 0.0972689033492561 0.922926466056233 convgroup 0.0283762555200975 0.95 -0.54358312029487 0.600034626209983
rh_inferiorparietal_thickness.aparcnative71 convgroup -0.0261617364854954 0.0288293746312923 -0.907468053680868 0.368788795999062 convgroup -0.264735639869541 0.95 -0.837608925471952 0.310922999502911
rh_inferiortemporal_thickness.aparcnative71 convgroup -0.02979134307055 0.0354354482873935 -0.840721495292851 0.404760892935102 convgroup -0.245263667525978 0.95 -0.817886314551049 0.329942521540287
rh_isthmuscingulate_thickness.aparcnative71 convgroup -0.04519339191094 0.0411199397335142 -1.0990626981417 0.277338853545077 convgroup -0.320629542240183 0.95 -0.894372050392782 0.256473390504522
rh_lateraloccipital_thickness.aparcnative71 convgroup -0.00266791182822851 0.0253138406495568 -0.105393403757372 0.91651217359651 convgroup -0.0307464158860064 0.95 -0.602397208771241 0.541230518845202
rh_lateralorbitofrontal_thickness.aparcnative71 convgroup -0.0179748547491068 0.0236234614472948 -0.760889964800869 0.450523519746553 convgroup -0.221974416493024 0.95 -0.794332735352094 0.352725137573036
rh_lingual_thickness.aparcnative71 convgroup -0.0323065314588724 0.0298016380011465 -1.08405220738637 0.283871429082289 convgroup -0.316250532027373 0.95 -0.889916927155411 0.260731500729911
rh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.0137089258390752 0.0297848206142816 0.460265516338275 0.647448052443951 convgroup 0.134273251254913 0.95 -0.438858218810248 0.705983239735595
rh_middletemporal_thickness.aparcnative71 convgroup -0.0446043504716955 0.0337223824619934 -1.32269274040666 0.192337617350962 convgroup -0.385869130667488 0.95 -0.960906277787518 0.193190392248508
rh_parahippocampal_thickness.aparcnative71 convgroup -0.0853439893831404 0.0522291287410065 -1.63403050061095 0.108934115769185 convgroup -0.476695690157832 0.95 -1.05403471552563 0.105567329216931
rh_paracentral_thickness.aparcnative71 convgroup 0.074223444426225 0.0355013605584324 2.09072112332312 0.0419866806189005 convgroup 0.609926037755992 0.95 0.0219743647252256 1.1916814561547
rh_parsopercularis_thickness.aparcnative71 convgroup 0.0210866563983203 0.0312131088516172 0.675570527068077 0.502623889049405 convgroup 0.197084178374026 0.95 -0.377115665092014 0.769202744729823
rh_parsorbitalis_thickness.aparcnative71 convgroup -0.0462039837673501 0.0495382159452888 -0.932693737262943 0.355744953903564 convgroup -0.272094728111998 0.95 -0.845068554242921 0.303742044260946
rh_parstriangularis_thickness.aparcnative71 convgroup 0.0150546586515153 0.0298975213217403 0.503542032448293 0.616935258496032 convgroup 0.146898308563806 0.95 -0.426425668956697 0.718667815633815
rh_pericalcarine_thickness.aparcnative71 convgroup 0.0383335916318926 0.0305390858636567 1.25523048735102 0.21560041270508 convgroup 0.36618836873071 0.95 -0.212250374599639 0.940803230679628
rh_postcentral_thickness.aparcnative71 convgroup -0.00919385897278453 0.0279890556742145 -0.328480498942112 0.744007453359056 convgroup -0.0958276103708306 0.95 -0.667426368703002 0.476786730514727
rh_posteriorcingulate_thickness.aparcnative71 convgroup -0.0183247294974357 0.0382699670973932 -0.478827939694883 0.634281249913407 convgroup -0.139688466705097 0.95 -0.711422603562118 0.433524230180727
rh_precentral_thickness.aparcnative71 convgroup 0.0648035381734321 0.0370676522695672 1.74825040717877 0.0869504919077262 convgroup 0.510017061558645 0.95 -0.0735593823308907 1.08834529258521
rh_precuneus_thickness.aparcnative71 convgroup 0.000161979627614087 0.0271135924507939 0.00597411161608518 0.995258662694349 convgroup 0.00174282748017548 0.95 -0.570046778768715 0.573513963490408
rh_rostralanteriorcingulate_thickness.aparcnative71 convgroup -0.0306591224211823 0.0510788733807079 -0.600230983809482 0.551235630209981 convgroup -0.175105374700286 0.95 -0.747048975159339 0.398689175618691
rh_rostralmiddlefrontal_thickness.aparcnative71 convgroup -0.00828846049220263 0.0284003919684698 -0.291843172495806 0.771690851926206 convgroup -0.0851394037496385 0.95 -0.656726008349568 0.487349703041703
rh_superiorfrontal_thickness.aparcnative71 convgroup 0.054703262225339 0.0316005817120828 1.73108402635584 0.0899975242528776 convgroup 0.505009113573071 0.95 -0.078365246651776 1.08318376174303
rh_superiorparietal_thickness.aparcnative71 convgroup 0.00817075962356637 0.03161921604512 0.258411201969931 0.797217864767751 convgroup 0.0753862955566093 0.95 -0.496995551410796 0.646968894992915
rh_superiortemporal_thickness.aparcnative71 convgroup -0.053494041673729 0.0341796814682922 -1.5650830954453 0.124272353828584 convgroup -0.456581664821254 0.95 -1.03336102616921 0.124924243909019
rh_supramarginal_thickness.aparcnative71 convgroup 0.00783258341524384 0.027280942986665 0.287108235923972 0.775291471454581 convgroup 0.0837580807840512 0.95 -0.48871542173261 0.655343694344097
rh_frontalpole_thickness.aparcnative71 convgroup 0.0774050346250571 0.0573979035280457 1.34856902198938 0.18393814537833 convgroup 0.393418017853608 0.95 -0.185886593290353 0.968624386393837
rh_temporalpole_thickness.aparcnative71 convgroup 0.00412315871306575 0.0654058226001298 0.063039627806127 0.950002289394874 convgroup 0.0183905495479423 0.95 -0.553499276870123 0.590085259260032
rh_transversetemporal_thickness.aparcnative71 convgroup -0.0174219115395978 0.0564899985138103 -0.308407010053976 0.759135469420602 convgroup -0.0899715717988287 0.95 -0.661562670385585 0.482573136007265
rh_insula_thickness.aparcnative71 convgroup -0.0113477351068576 0.0438063814065438 -0.259042969140622 0.796733299007082 convgroup -0.0755706009825724 0.95 -0.647153204475054 0.496813209550773
rh_MeanThickness_thickness.aparcnative71 convgroup 0.00393785538711596 0.0201989690888768 0.194953285476558 0.84626983273232 convgroup 0.0568737186570495 0.95 -0.515323093804805 0.628467352955542
