rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -6.86195436037956e-05 0.000118885526174925 -0.577190056784797 0.567128319607271 convgroup -0.184848756375206 0.95 -0.81269373373758 0.445348651997748
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.000606260594947195 0.00103848020699276 0.58379600387648 0.562719071096725 convgroup 0.186964352599057 0.95 -0.443276997756932 0.814826563705206
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000102290844278189 0.00013268591101164 0.77092468596169 0.445397196185994 convgroup 0.246893493371624 0.95 -0.384734696249158 0.875389664707684
lh_cuneus_thickness.aparcnative71 convgroup -9.20804859579305e-05 0.000426446809577367 -0.215924902918579 0.830171665828357 convgroup -0.0691513121297893 0.95 -0.696586921674296 0.559167426511506
lh_entorhinal_thickness.aparcnative71 convgroup 0.00266225816734937 0.00196695667214596 1.35349100722429 0.18369187644719 convgroup 0.433464032357226 0.95 -0.204216441667419 1.06572722447612
lh_fusiform_thickness.aparcnative71 convgroup -7.16720382203084e-05 0.000203120137443311 -0.352855404306289 0.726096864645708 convgroup -0.113004168903427 0.95 -0.740471402233538 0.515905504938852
lh_inferiorparietal_thickness.aparcnative71 convgroup -2.04245945012345e-05 0.000272018635233191 -0.0750852767264469 0.940530696590494 convgroup -0.0240465334803 0.95 -0.651606285052042 0.603820456567516
lh_inferiortemporal_thickness.aparcnative71 convgroup -5.5153433402058e-05 0.000379093223932142 -0.145487784851387 0.885075107762129 convgroup -0.0465933807788886 0.95 -0.674071195306118 0.58147965589614
lh_isthmuscingulate_thickness.aparcnative71 convgroup -8.81155201824948e-05 9.01737494244028e-05 -0.977174851272725 0.334505367565741 convgroup -0.312946409758124 0.95 -0.942466542881711 0.320526338296808
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.00015801730929526 9.94271257707045e-05 1.58927765507045 0.120072731528581 convgroup 0.508976193580218 0.95 -0.13188601070997 1.14352975534054
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 7.15528634893176e-05 0.000234984249218775 0.304500679203825 0.762365449056457 convgroup 0.097518263186607 0.95 -0.531165420938282 0.724957318137773
lh_lingual_thickness.aparcnative71 convgroup -0.000507010432067091 0.000299036261387212 -1.69548144333767 0.0979548896886596 convgroup -0.542988626664892 0.95 -1.17871644881242 0.0994416296651962
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.000233984183776674 0.000299102136841406 0.782288572885523 0.43876912664176 convgroup 0.25053284983795 0.95 -0.381188381073096 0.879076556752008
lh_middletemporal_thickness.aparcnative71 convgroup -0.000325807816607698 0.00024931167466943 -1.30682936143964 0.198924326353593 convgroup -0.41852034597122 0.95 -1.05038231462313 0.218579921560614
lh_parahippocampal_thickness.aparcnative71 convgroup 0.000768032907914775 0.000868584534224696 0.884235071719676 0.381988251057059 convgroup 0.283181859128361 0.95 -0.34941881966489 0.912198439587476
