ROI SUVR plotrois hemi label SUVR_above_reference predictedYearsBeforepredAB
CTX_LH_BANKSSTS_SUVR 1.26520075993882 lh_bankssts left lh_bankssts 1.26520075993882 1
CTX_LH_CAUDALANTERIORCINGULATE_SUVR 1.19327155250084 lh_caudalanteriorcingulate left lh_caudalanteriorcingulate 1.19327155250084 1
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR 1.12646124595059 lh_caudalmiddlefrontal left lh_caudalmiddlefrontal 1.12646124595059 1
CTX_LH_CUNEUS_SUVR 1.10619179961107 lh_cuneus left lh_cuneus 1.10619179961107 1
CTX_LH_ENTORHINAL_SUVR 0.909408023843877 lh_entorhinal left lh_entorhinal NA 1
CTX_LH_FRONTALPOLE_SUVR 0.90444654891582 lh_frontalpole left lh_frontalpole NA 1
CTX_LH_FUSIFORM_SUVR 1.10351971903854 lh_fusiform left lh_fusiform 1.10351971903854 1
CTX_LH_INFERIORPARIETAL_SUVR 1.13013196874441 lh_inferiorparietal left lh_inferiorparietal 1.13013196874441 1
CTX_LH_INFERIORTEMPORAL_SUVR 1.0877197743589 lh_inferiortemporal left lh_inferiortemporal 1.0877197743589 1
CTX_LH_INSULA_SUVR 1.04947092164964 lh_insula left lh_insula 1.04947092164964 1
CTX_LH_ISTHMUSCINGULATE_SUVR 1.19999470803683 lh_isthmuscingulate left lh_isthmuscingulate 1.19999470803683 1
CTX_LH_LATERALOCCIPITAL_SUVR 1.10707258045617 lh_lateraloccipital left lh_lateraloccipital 1.10707258045617 1
CTX_LH_LATERALORBITOFRONTAL_SUVR 1.14689057566396 lh_lateralorbitofrontal left lh_lateralorbitofrontal 1.14689057566396 1
CTX_LH_LINGUAL_SUVR 1.04745205020823 lh_lingual left lh_lingual 1.04745205020823 1
CTX_LH_MEDIALORBITOFRONTAL_SUVR 1.07133203245112 lh_medialorbitofrontal left lh_medialorbitofrontal 1.07133203245112 1
CTX_LH_MIDDLETEMPORAL_SUVR 1.03779920372975 lh_middletemporal left lh_middletemporal 1.03779920372975 1
CTX_LH_PARACENTRAL_SUVR 1.12883524257744 lh_paracentral left lh_paracentral 1.12883524257744 1
CTX_LH_PARAHIPPOCAMPAL_SUVR 0.973511338555184 lh_parahippocampal left lh_parahippocampal NA 1
