rois rankedThickTraj rankedThickTrajSE rankedThickTrajMaxAccel rankedThickTrajRev rankedThickTrajSERev rankedABTraj age_crossing rankedABTrajRev roi
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR NA NA -1.41537966786672 NA NA 613 6.12 6 lh_caudalmiddlefrontal
CTX_LH_INSULA_SUVR NA NA NA NA NA 355 3.54 18 lh_insula
CTX_LH_LATERALORBITOFRONTAL_SUVR NA NA -2.34474787579001 NA NA 632 6.31 4 lh_lateralorbitofrontal
CTX_LH_MEDIALORBITOFRONTAL_SUVR NA NA 7.56851300872509 NA NA 327 3.26 20 lh_medialorbitofrontal
CTX_LH_PARACENTRAL_SUVR NA NA NA NA NA 752 7.51 2 lh_paracentral
CTX_LH_PARSOPERCULARIS_SUVR 0 0 -2.65453727843111 0 0 497 4.96 12 lh_parsopercularis
CTX_LH_PARSORBITALIS_SUVR -0.98697724089107 -3.99556260087498 -6.06222070748318 8 7 329 3.28 19 lh_parsorbitalis
CTX_LH_PARSTRIANGULARIS_SUVR -4.94725796984948 0 -2.65453727843111 1 0 559 5.58 8 lh_parstriangularis
CTX_LH_PRECENTRAL_SUVR 0 0 -3.5839054863544 0 0 761 7.6 1 lh_precentral
CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR -2.95176768006423 -6.23665169555687 -2.34474787579001 6 4 431 4.3 15 lh_rostralmiddlefrontal
CTX_LH_SUPERIORFRONTAL_SUVR -2.12287171353806 -4.21046155515954 -2.34474787579001 7 6 314 3.13 22 lh_superiorfrontal
CTX_LH_SUPRAMARGINAL_SUVR 0 0 NA 0 0 556 5.55 9 lh_supramarginal
CTX_RH_CAUDALMIDDLEFRONTAL_SUVR NA NA 2.30209316382645 NA NA 537 5.36 10 rh_caudalmiddlefrontal
CTX_RH_INSULA_SUVR NA NA NA NA NA 327 3.26 21 rh_insula
CTX_RH_LATERALORBITOFRONTAL_SUVR -3.3201658874092 -8.60054019268708 -2.96432668107221 5 1 626 6.25 5 rh_lateralorbitofrontal
CTX_RH_MEDIALORBITOFRONTAL_SUVR NA NA -2.65453727843111 NA NA 357 3.56 17 rh_medialorbitofrontal
CTX_RH_PARACENTRAL_SUVR NA NA -3.8936948889955 NA NA 682 6.81 3 rh_paracentral
CTX_RH_PARSOPERCULARIS_SUVR 0 0 0.443356747979863 0 0 575 5.74 7 rh_parsopercularis
CTX_RH_PARSORBITALIS_SUVR -3.87276319842665 -5.68405438453942 -7.30137831804756 2 5 385 3.84 16 rh_parsorbitalis
CTX_RH_PARSTRIANGULARIS_SUVR 0 0 NA 0 0 512 5.11 11 rh_parstriangularis
CTX_RH_PRECENTRAL_SUVR NA NA NA NA NA 798 7.97 0 rh_precentral
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR -3.3201658874092 -7.98654318044547 -1.10559026522562 4 2 444 4.43 14 rh_rostralmiddlefrontal
CTX_RH_SUPERIORFRONTAL_SUVR -3.47366514046961 -6.29805139678103 -2.65453727843111 3 3 309 3.08 23 rh_superiorfrontal
CTX_RH_SUPRAMARGINAL_SUVR 0 0 -8.23074652597086 0 0 488 4.87 13 rh_supramarginal
