rois rankedTraj age_crossing revRankedTraj
CTX_RH_PRECENTRAL_SUVR 798 7.97 1
CTX_LH_PRECENTRAL_SUVR 761 7.6 2
CTX_LH_PARACENTRAL_SUVR 752 7.51 3
CTX_RH_PARACENTRAL_SUVR 682 6.81 4
CTX_LH_LATERALORBITOFRONTAL_SUVR 632 6.31 5
CTX_RH_LATERALORBITOFRONTAL_SUVR 626 6.25 6
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR 613 6.12 7
CTX_RH_PARSOPERCULARIS_SUVR 575 5.74 8
CTX_LH_PARSTRIANGULARIS_SUVR 559 5.58 9
CTX_LH_SUPRAMARGINAL_SUVR 556 5.55 10
CTX_RH_CAUDALMIDDLEFRONTAL_SUVR 537 5.36 11
CTX_RH_PARSTRIANGULARIS_SUVR 512 5.11 12
CTX_LH_PARSOPERCULARIS_SUVR 497 4.96 13
CTX_RH_SUPRAMARGINAL_SUVR 488 4.87 14
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR 444 4.43 15
CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR 431 4.3 16
CTX_RH_PARSORBITALIS_SUVR 385 3.84 17
CTX_RH_MEDIALORBITOFRONTAL_SUVR 357 3.56 18
CTX_LH_INSULA_SUVR 355 3.54 19
CTX_LH_PARSORBITALIS_SUVR 329 3.28 20
CTX_LH_MEDIALORBITOFRONTAL_SUVR 327 3.26 21
CTX_RH_INSULA_SUVR 327 3.26 22
CTX_LH_SUPERIORFRONTAL_SUVR 314 3.13 23
CTX_RH_SUPERIORFRONTAL_SUVR 309 3.08 24
CTX_LH_BANKSSTS_SUVR NA always NA
CTX_LH_FRONTALPOLE_SUVR NA never NA
CTX_RH_BANKSSTS_SUVR NA always NA
CTX_RH_FRONTALPOLE_SUVR NA never NA
